,Video,ROI,Intruder_Approach (s),Intruder_Sniff (s),Intruder_Walk_away (s)
0,Together_4_res_reversed_1,Polygon_1,0.07,1.0,6.87
1,Together_4_res_reversed_1,Rectangle_1,0.63,0.63,6.67
2,Together_4_res_reversed_1,Circle_1,0.0,0.0,0.0
3,Together_4_res_reversed_2,Polygon_1,0.0,1.2,4.03
4,Together_4_res_reversed_2,Rectangle_1,0.0,0.0,0.0
5,Together_4_res_reversed_2,Circle_1,0.0,0.0,0.0
6,Together_4_res_reversed_3,Polygon_1,0.97,0.0,5.93
7,Together_4_res_reversed_3,Rectangle_1,0.27,2.3,13.43
8,Together_4_res_reversed_3,Circle_1,0.07,0.57,2.2
9,Together_4_res_reversed_4,Polygon_1,0.23,1.07,9.03
10,Together_4_res_reversed_4,Rectangle_1,1.07,0.8,15.37
11,Together_4_res_reversed_4,Circle_1,0.83,1.27,15.13
12,Together_4_res_reversed_5,Polygon_1,0.0,0.17,1.63
13,Together_4_res_reversed_5,Rectangle_1,0.7,1.77,10.0
14,Together_4_res_reversed_5,Circle_1,0.0,0.43,2.0
