,Video,Classifier,Measure,Value
0,Together_1,Attack,Bout count,10.0
1,Together_1,Attack,First event occurrence (s),0.033
2,Together_1,Attack,Mean event bout duration (s),1.517
3,Together_1,Attack,Mean event bout interval duration (s),4.725
4,Together_1,Attack,Median event bout duration (s),1.265
5,Together_1,Attack,Median event bout interval duration (s),1.564
6,Together_1,Attack,Total event duration (s),15.175
7,Together_2,Attack,Bout count,8.0
8,Together_2,Attack,First event occurrence (s),2.496
9,Together_2,Attack,Mean event bout duration (s),0.886
10,Together_2,Attack,Mean event bout interval duration (s),5.572
11,Together_2,Attack,Median event bout duration (s),0.266
12,Together_2,Attack,Median event bout interval duration (s),3.394
13,Together_2,Attack,Total event duration (s),7.088
