N OBS (F=50),OUTPUT,MEAN (S),SD (S),PAIRS/S
**1k**,4mb,0.0021,0.0003,**470.0m**
**2k**,16mb,0.0057,0.0001,**702.6m**
**5k**,100mb,0.0292,0.0005,**856.4m**
**10k**,400mb,0.1134,0.0052,**882.1m**
**20k**,1.6gb,0.4266,0.0023,**937.6m**
**30k**,3.6gb,0.9301,0.0164,**967.7m**
**40k**,6.4gb,1.6864,0.0362,**948.8m**
**50k**,10.0gb,3.1664,0.1933,**789.5m**
NVIDIA GeForce RTX 4070 (12GB),,,,
F=50 features; mean +/- SD of 3 runs,,,,
dense (n x n) float32 output -> memory scales n^2 (50k~10GB ceiling); ~7-9x vs CPU BLAS matmul,,,,
