,Feature_name,Feature_importance
0,Total_movement_centroids_mean_2 Importance,0.04
1,Tail_base_movement_M2_mean_2 Importance,0.04
2,Centroid_movement_M2_mean_2 Importance,0.04
3,Centroid_movement_M2_sum_2 Importance,0.04
4,Centroid_movement_M2_sum_5 Importance,0.04
5,Movement_mean_2      Importance,0.03
6,Total_movement_centroids_median_2 Importance,0.03
7,Tail_base_movement_M2_sum_2 Importance,0.03
8,Centroid_movement_M2_median_2 Importance,0.03
9,Movement_sum_2       Importance,0.02
10,Tail_base_movement_M2_median_2 Importance,0.02
11,Tail_base_movement_M2_mean_6 Importance,0.02
12,Centroid_movement_M2_median_5 Importance,0.02
13,Centroid_movement_M2_median_6 Importance,0.02
14,Centroid_movement_M2_sum_7.5 Importance,0.02
15,M1_Nose_to_M2_lat_left Importance,0.01
16,M1_Nose_to_M2_lat_right Importance,0.01
17,Total_movement_all_bodyparts_M2 Importance,0.01
18,Movement_median_2    Importance,0.01
19,Movement_mean_5      Importance,0.01
20,Movement_sum_6       Importance,0.01
21,Distance_mean_2      Importance,0.01
22,Distance_mean_5      Importance,0.01
23,Distance_sum_15      Importance,0.01
24,Total_movement_centroids_sum_2 Importance,0.01
25,Total_movement_centroids_mean_5 Importance,0.01
26,Total_movement_centroids_sum_5 Importance,0.01
27,Tail_base_movement_M1_mean_2 Importance,0.01
28,Tail_base_movement_M2_median_5 Importance,0.01
29,Tail_base_movement_M2_mean_5 Importance,0.01
30,Tail_base_movement_M2_median_6 Importance,0.01
31,Tail_base_movement_M2_sum_6 Importance,0.01
32,Tail_base_movement_M2_mean_7.5 Importance,0.01
33,Tail_base_movement_M2_sum_7.5 Importance,0.01
34,Centroid_movement_M2_mean_5 Importance,0.01
35,Centroid_movement_M2_mean_6 Importance,0.01
36,Centroid_movement_M2_sum_6 Importance,0.01
37,Centroid_movement_M2_median_7.5 Importance,0.01
38,Centroid_movement_M2_mean_7.5 Importance,0.01
39,Centroid_movement_M2_sum_15 Importance,0.01
40,Nose_movement_M1_mean_2 Importance,0.01
41,Nose_movement_M1_sum_2 Importance,0.01
42,Nose_movement_M2_mean_2 Importance,0.01
43,Nose_movement_M2_sum_2 Importance,0.01
44,Movement_mean_2_percentile_rank Importance,0.01
45,Mouse_1_poly_area    Importance,0.0
46,Mouse_2_poly_area    Importance,0.0
47,Mouse_1_nose_to_tail Importance,0.0
48,Mouse_2_nose_to_tail Importance,0.0
49,Mouse_1_width        Importance,0.0
50,Mouse_2_width        Importance,0.0
51,Mouse_1_Ear_distance Importance,0.0
52,Mouse_2_Ear_distance Importance,0.0
53,Mouse_1_Nose_to_centroid Importance,0.0
