Video,Grade0_frames,Grade1_frames,Grade2_frames,Grade3_frames,Grade4_frames,Grade5_frames,Grade6_frames,Grade7_frames,Grade8_frames,Grade9_frames,Grade1_time,Grade2_time,Grade3_time,Grade4_time,Grade5_time,Grade6_time,Grade7_time,Grade8_time,Grade9_time,Grade10_time
Video10,1,13,3,10,9,7,3,7,4,2,0.033333333,0.433333333,0.1,0.333333333,0.3,0.233333333,0.1,0.233333333,0.133333333,0.066666667
Video11,0,21,38,39,35,18,14,7,2,2,0,0.7,1.266666667,1.3,1.166666667,0.6,0.466666667,0.233333333,0.066666667,0.066666667
Video12,0,15,19,16,14,5,3,10,11,10,0,0.5,0.633333333,0.533333333,0.466666667,0.166666667,0.1,0.333333333,0.366666667,0.333333333
Video13,0,4,10,16,8,4,2,1,0,0,0,0.133333333,0.333333333,0.533333333,0.266666667,0.133333333,0.066666667,0.033333333,0,0
Video14,0,6,20,37,34,24,14,15,6,7,0,0.2,0.666666667,1.233333333,1.133333333,0.8,0.466666667,0.5,0.2,0.233333333
Video15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video18,0,1,2,20,41,47,28,12,6,13,0,0.033333333,0.066666667,0.666666667,1.366666667,1.566666667,0.933333333,0.4,0.2,0.433333333
Video19,45,176,252,207,162,89,84,52,23,15,1.5,5.866666667,8.4,6.9,5.4,2.966666667,2.8,1.733333333,0.766666667,0.5
Video20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video22,52,252,271,143,105,77,45,22,10,7,1.733333333,8.4,9.033333333,4.766666667,3.5,2.566666667,1.5,0.733333333,0.333333333,0.233333333
Video23,3,61,110,82,55,51,52,21,11,4,0.1,2.033333333,3.666666667,2.733333333,1.833333333,1.7,1.733333333,0.7,0.366666667,0.133333333
Video24,1,23,44,50,72,57,44,29,22,12,0.033333333,0.766666667,1.466666667,1.666666667,2.4,1.9,1.466666667,0.966666667,0.733333333,0.4
Video25,2,66,101,105,96,48,12,14,6,3,0.066666667,2.2,3.366666667,3.5,3.2,1.6,0.4,0.466666667,0.2,0.1
Video26,43,154,112,83,92,76,47,9,0,0,1.433333333,5.133333333,3.733333333,2.766666667,3.066666667,2.533333333,1.566666667,0.3,0,0
Video46,5,56,85,81,88,68,26,24,4,1,0.166666667,1.866666667,2.833333333,2.7,2.933333333,2.266666667,0.866666667,0.8,0.133333333,0.033333333
Video47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video51,0,14,40,57,90,37,13,7,3,0,0,0.466666667,1.333333333,1.9,3,1.233333333,0.433333333,0.233333333,0.1,0
Video52,0,15,26,33,5,3,1,0,0,0,0,0.5,0.866666667,1.1,0.166666667,0.1,0.033333333,0,0,0
Video53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video56,3,84,195,244,205,151,106,63,20,10,0.1,2.8,6.5,8.133333333,6.833333333,5.033333333,3.533333333,2.1,0.666666667,0.333333333
Video59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video60,6,72,101,151,153,123,109,64,31,7,0.2,2.4,3.366666667,5.033333333,5.1,4.1,3.633333333,2.133333333,1.033333333,0.233333333
Video64,1,6,43,35,24,45,36,34,16,8,0.033333333,0.2,1.433333333,1.166666667,0.8,1.5,1.2,1.133333333,0.533333333,0.266666667
Video65,2,49,83,107,112,61,42,22,20,9,0.066666667,1.633333333,2.766666667,3.566666667,3.733333333,2.033333333,1.4,0.733333333,0.666666667,0.3
Video68,0,17,38,44,73,37,35,36,25,14,0,0.566666667,1.266666667,1.466666667,2.433333333,1.233333333,1.166666667,1.2,0.833333333,0.466666667
Video7,0,2,5,5,2,7,4,0,0,0,0,0.066666667,0.166666667,0.166666667,0.066666667,0.233333333,0.133333333,0,0,0
Video8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Video9,1,0,1,0,3,6,5,3,0,0,0.033333333,0,0.033333333,0,0.1,0.2,0.166666667,0.1,0,0
