,VIDEO,CUE LIGHT,CLASSIFIER,CUE LIGHT BOUT START TIME,CUE LIGHT BOUT END TIME,CUE LIGHT BOUT START FRAME,CUE LIGHT BOUT END FRAME, CUE LIGHT BOUT BEHAVIOR PRESENT (S),CUE LIGHT BOUT BEHAVIOR ABSENT (S)
46,2025-05-21 16-10-06_cropped,cl,freeze,13.966666666666667,26.1,419,782,8.1333,4.0
47,2025-05-21 16-10-06_cropped,cl,freeze,84.0,104.13333333333334,2520,3123,10.7667,9.3666
0,2025-05-21 16-10-06_cropped,cl2,freeze,14.166666666666666,24.833333333333332,425,744,8.1333,2.5334
1,2025-05-21 16-10-06_cropped,cl2,freeze,24.9,26.1,747,782,0.0,1.2
2,2025-05-21 16-10-06_cropped,cl2,freeze,28.433333333333334,28.533333333333335,853,855,0.0,0.1
3,2025-05-21 16-10-06_cropped,cl2,freeze,28.633333333333333,28.666666666666668,859,859,0.0,0.0333
4,2025-05-21 16-10-06_cropped,cl2,freeze,28.7,32.0,861,959,0.0,3.3
5,2025-05-21 16-10-06_cropped,cl2,freeze,32.1,32.13333333333333,963,963,0.0333,0.0
6,2025-05-21 16-10-06_cropped,cl2,freeze,33.1,33.13333333333333,993,993,0.0333,0.0
7,2025-05-21 16-10-06_cropped,cl2,freeze,33.166666666666664,33.333333333333336,995,999,0.1667,-0.0
8,2025-05-21 16-10-06_cropped,cl2,freeze,34.43333333333333,34.46666666666667,1033,1033,0.0333,0.0
9,2025-05-21 16-10-06_cropped,cl2,freeze,34.5,36.0,1035,1079,1.5,0.0
10,2025-05-21 16-10-06_cropped,cl2,freeze,36.233333333333334,36.266666666666666,1087,1087,0.0333,0.0
11,2025-05-21 16-10-06_cropped,cl2,freeze,36.3,36.333333333333336,1089,1089,0.0333,0.0
12,2025-05-21 16-10-06_cropped,cl2,freeze,36.43333333333333,36.53333333333333,1093,1095,0.1,0.0
13,2025-05-21 16-10-06_cropped,cl2,freeze,36.56666666666667,36.8,1097,1103,0.2333,0.0
14,2025-05-21 16-10-06_cropped,cl2,freeze,36.833333333333336,36.9,1105,1106,0.0667,-0.0
15,2025-05-21 16-10-06_cropped,cl2,freeze,37.56666666666667,37.6,1127,1127,0.0333,0.0
16,2025-05-21 16-10-06_cropped,cl2,freeze,37.63333333333333,37.86666666666667,1129,1135,0.2333,0.0
17,2025-05-21 16-10-06_cropped,cl2,freeze,37.9,39.333333333333336,1137,1179,1.4333,0.0
18,2025-05-21 16-10-06_cropped,cl2,freeze,39.43333333333333,39.46666666666667,1183,1183,0.0333,0.0
19,2025-05-21 16-10-06_cropped,cl2,freeze,39.5,40.666666666666664,1185,1219,1.1667,-0.0
20,2025-05-21 16-10-06_cropped,cl2,freeze,40.7,40.93333333333333,1221,1227,0.2333,0.0
21,2025-05-21 16-10-06_cropped,cl2,freeze,40.96666666666667,41.0,1229,1229,0.0333,0.0
22,2025-05-21 16-10-06_cropped,cl2,freeze,41.166666666666664,41.2,1235,1235,0.0333,0.0
23,2025-05-21 16-10-06_cropped,cl2,freeze,41.233333333333334,41.46666666666667,1237,1243,0.2333,0.0
24,2025-05-21 16-10-06_cropped,cl2,freeze,41.5,45.86666666666667,1245,1375,4.3667,-0.0
25,2025-05-21 16-10-06_cropped,cl2,freeze,48.0,64.13333333333334,1440,1923,12.7,3.4333
26,2025-05-21 16-10-06_cropped,cl2,freeze,70.83333333333333,70.86666666666666,2125,2125,0.0333,0.0
27,2025-05-21 16-10-06_cropped,cl2,freeze,70.9,70.93333333333334,2127,2127,0.0333,0.0
28,2025-05-21 16-10-06_cropped,cl2,freeze,71.16666666666667,71.2,2135,2135,0.0333,0.0
29,2025-05-21 16-10-06_cropped,cl2,freeze,71.83333333333333,73.33333333333333,2155,2199,1.5,0.0
30,2025-05-21 16-10-06_cropped,cl2,freeze,73.5,73.6,2205,2207,0.1,0.0
31,2025-05-21 16-10-06_cropped,cl2,freeze,73.63333333333334,73.66666666666667,2209,2209,0.0333,0.0
32,2025-05-21 16-10-06_cropped,cl2,freeze,73.7,73.73333333333333,2211,2211,0.0333,0.0
33,2025-05-21 16-10-06_cropped,cl2,freeze,73.76666666666667,74.0,2213,2219,0.2333,0.0
34,2025-05-21 16-10-06_cropped,cl2,freeze,74.03333333333333,74.06666666666666,2221,2221,0.0333,0.0
35,2025-05-21 16-10-06_cropped,cl2,freeze,74.23333333333333,74.26666666666667,2227,2227,0.0333,0.0
36,2025-05-21 16-10-06_cropped,cl2,freeze,74.56666666666666,74.6,2237,2237,0.0,0.0333
37,2025-05-21 16-10-06_cropped,cl2,freeze,74.63333333333334,74.66666666666667,2239,2239,0.0,0.0333
38,2025-05-21 16-10-06_cropped,cl2,freeze,74.76666666666667,75.6,2243,2267,0.1,0.7333
39,2025-05-21 16-10-06_cropped,cl2,freeze,75.63333333333334,75.66666666666667,2269,2269,0.0333,0.0
40,2025-05-21 16-10-06_cropped,cl2,freeze,75.86666666666666,76.0,2276,2279,0.1333,0.0
41,2025-05-21 16-10-06_cropped,cl2,freeze,80.0,81.6,2400,2447,1.6,0.0
42,2025-05-21 16-10-06_cropped,cl2,freeze,81.63333333333334,104.26666666666667,2449,3127,13.2667,9.3666
43,2025-05-21 16-10-06_cropped,cl2,freeze,104.3,107.2,3129,3215,1.9333,0.9667
44,2025-05-21 16-10-06_cropped,cl2,freeze,107.23333333333333,107.33333333333333,3217,3219,0.0,0.1
45,2025-05-21 16-10-06_cropped,cl2,freeze,107.36666666666666,111.23333333333333,3221,3336,3.7667,0.1
