VIDEO,ANIMAL,BODY-PART NAME,SHAPE NAME,START FRAME,END FRAME,START TIME (s),END TIME (s),DURATION (s)
Together_1,Simon,Ear_left_1,Rectangle_1,25,69,0.87,2.33,1.46
Together_1,Simon,Ear_left_1,Rectangle_1,74,103,2.5,3.47,0.97
Together_1,Simon,Ear_left_1,Rectangle_1,152,153,5.1,5.13,0.03
Together_1,Simon,Ear_left_1,Rectangle_1,157,162,5.27,5.43,0.16
Together_1,Simon,Ear_left_1,Rectangle_1,164,182,5.5,6.1,0.6
Together_1,Simon,Ear_left_1,Rectangle_1,184,208,6.17,6.97,0.8
Together_1,Simon,Ear_left_1,Rectangle_1,218,218,7.3,7.3,0.0
Together_1,Simon,Ear_left_1,Rectangle_1,220,671,7.37,22.4,15.03
Together_1,Simon,Ear_left_1,Rectangle_1,948,956,31.63,31.9,0.27
Together_1,Simon,Ear_left_1,Rectangle_1,1073,1152,35.8,38.43,2.63
Together_1,Simon,Ear_left_1,Rectangle_1,1343,1353,44.8,45.13,0.33
Together_1,Simon,Ear_left_1,Rectangle_1,1419,1483,47.33,49.47,2.14
Together_1,Simon,Ear_left_1,Rectangle_1,1572,1706,52.43,56.9,4.47
Together_1,Simon,Ear_left_1,Polygon_1,19,83,0.67,2.8,2.13
Together_1,Simon,Ear_left_1,Polygon_1,304,323,10.17,10.8,0.63
Together_1,Simon,Ear_left_1,Polygon_1,462,595,15.43,19.87,4.44
Together_1,Simon,Ear_left_1,Polygon_1,635,798,21.2,26.63,5.43
Together_1,Simon,Ear_left_1,Polygon_1,803,816,26.8,27.23,0.43
Together_1,Simon,Ear_left_1,Polygon_1,893,908,29.8,30.3,0.5
Together_1,Simon,Ear_left_1,Polygon_1,1130,1162,37.7,38.77,1.07
Together_1,Simon,Ear_left_1,Polygon_1,1173,1202,39.13,40.1,0.97
Together_1,Simon,Ear_left_1,Polygon_1,1702,1720,56.77,57.37,0.6
Together_1,JJ,Ear_left_2,Rectangle_1,0,65,0.03,2.2,2.17
Together_1,JJ,Ear_left_2,Rectangle_1,171,171,5.73,5.73,0.0
Together_1,JJ,Ear_left_2,Rectangle_1,347,347,11.6,11.6,0.0
Together_1,JJ,Ear_left_2,Rectangle_1,350,386,11.7,12.9,1.2
Together_1,JJ,Ear_left_2,Rectangle_1,602,617,20.1,20.6,0.5
Together_1,JJ,Ear_left_2,Rectangle_1,620,633,20.7,21.13,0.43
Together_1,JJ,Ear_left_2,Rectangle_1,762,766,25.43,25.57,0.14
Together_1,JJ,Ear_left_2,Rectangle_1,771,775,25.73,25.87,0.14
Together_1,JJ,Ear_left_2,Rectangle_1,820,826,27.37,27.57,0.2
Together_1,JJ,Ear_left_2,Rectangle_1,975,1020,32.53,34.03,1.5
Together_1,JJ,Ear_left_2,Rectangle_1,1045,1090,34.87,36.37,1.5
Together_1,JJ,Ear_left_2,Rectangle_1,1103,1120,36.8,37.37,0.57
Together_1,JJ,Ear_left_2,Rectangle_1,1136,1148,37.9,38.3,0.4
Together_1,JJ,Ear_left_2,Rectangle_1,1408,1451,46.97,48.4,1.43
Together_1,JJ,Ear_left_2,Rectangle_1,1552,1635,51.77,54.53,2.76
Together_1,JJ,Ear_left_2,Polygon_1,0,24,0.03,0.83,0.8
Together_1,JJ,Ear_left_2,Polygon_1,35,77,1.2,2.6,1.4
Together_1,JJ,Ear_left_2,Polygon_1,85,85,2.87,2.87,0.0
Together_1,JJ,Ear_left_2,Polygon_1,89,91,3.0,3.07,0.07
Together_1,JJ,Ear_left_2,Polygon_1,95,96,3.2,3.23,0.03
Together_1,JJ,Ear_left_2,Polygon_1,110,129,3.7,4.33,0.63
Together_1,JJ,Ear_left_2,Polygon_1,158,236,5.3,7.9,2.6
Together_1,JJ,Ear_left_2,Polygon_1,241,241,8.07,8.07,0.0
Together_1,JJ,Ear_left_2,Polygon_1,321,339,10.73,11.33,0.6
Together_1,JJ,Ear_left_2,Polygon_1,626,648,20.9,21.63,0.73
Together_1,JJ,Ear_left_2,Polygon_1,738,769,24.63,25.67,1.04
Together_1,JJ,Ear_left_2,Polygon_1,1164,1169,38.83,39.0,0.17
Together_1,JJ,Ear_left_2,Polygon_1,1196,1220,39.9,40.7,0.8
Together_1,JJ,Ear_left_2,Polygon_1,1238,1243,41.3,41.47,0.17
Together_1,JJ,Ear_left_2,Polygon_1,1250,1250,41.7,41.7,0.0
Together_1,JJ,Ear_left_2,Polygon_1,1311,1312,43.73,43.77,0.04
Together_1,JJ,Ear_left_2,Polygon_1,1371,1417,45.73,47.27,1.54
Together_1,JJ,Ear_left_2,Polygon_1,1477,1477,49.27,49.27,0.0
Together_1,JJ,Ear_left_2,Polygon_1,1479,1480,49.33,49.37,0.04
Together_1,JJ,Ear_left_2,Polygon_1,1548,1564,51.63,52.17,0.54
