,Video,Animal,Shape,Entry_times,Exit_times
0,Video10,Animal_1,My_rectangle,97,102
1,Video10,Animal_1,My_rectangle,110,114
2,Video10,Animal_1,My_rectangle,206,212
3,Video10,Animal_1,My_rectangle,352,424
4,Video10,Animal_1,My_rectangle,880,896
5,Video10,Animal_1,My_rectangle,915,919
6,Video10,Animal_1,My_rectangle,931,984
7,Video10,Animal_1,My_rectangle,1139,1158
8,Video10,Animal_1,My_rectangle,1529,1534
9,Video10,Animal_1,My_rectangle,1536,1541
10,Video10,Animal_1,My_rectangle,1543,1546
11,Video10,Animal_1,My_rectangle,1628,1628
12,Video10,Animal_1,Myc_circle,115,116
13,Video10,Animal_1,Myc_circle,133,143
14,Video10,Animal_1,Myc_circle,222,229
15,Video10,Animal_1,Myc_circle,838,861
16,Video10,Animal_1,Myc_circle,1017,1030
17,Video10,Animal_1,Myc_circle,1048,1070
18,Video10,Animal_1,Myc_circle,1074,1087
19,Video10,Animal_1,Myc_circle,1095,1096
20,Video10,Animal_1,Myc_circle,1098,1137
21,Video10,Animal_1,Myc_circle,1553,1561
22,Video10,Animal_1,Myc_circle,1626,1626
23,Video10,Animal_1,Myc_circle,1638,1639
24,Video10,Animal_1,Myc_circle,1641,1641
25,Video10,Animal_1,My_polygon,27,27
26,Video10,Animal_1,My_polygon,235,247
27,Video10,Animal_1,My_polygon,249,256
28,Video10,Animal_1,My_polygon,332,343
29,Video10,Animal_1,My_polygon,524,556
30,Video10,Animal_1,My_polygon,1242,1261
31,Video10,Animal_1,My_polygon,1397,1411
32,Video10,Animal_1,My_polygon,1568,1581
33,Video10,Animal_1,My_polygon,1585,1615
34,Video11,Animal_1,My_rectangle,43,54
35,Video11,Animal_1,My_rectangle,192,233
36,Video11,Animal_1,My_rectangle,320,333
37,Video11,Animal_1,My_rectangle,393,408
38,Video11,Animal_1,My_rectangle,477,505
39,Video11,Animal_1,My_rectangle,508,517
40,Video11,Animal_1,My_rectangle,624,634
41,Video11,Animal_1,My_rectangle,666,667
42,Video11,Animal_1,My_rectangle,679,801
43,Video11,Animal_1,My_rectangle,808,861
44,Video11,Animal_1,My_rectangle,869,969
45,Video11,Animal_1,My_rectangle,1286,1304
46,Video11,Animal_1,My_rectangle,1582,1617
47,Video11,Animal_1,My_rectangle,1619,1649
48,Video11,Animal_1,Myc_circle,119,121
49,Video11,Animal_1,Myc_circle,238,247
50,Video11,Animal_1,Myc_circle,334,367
51,Video11,Animal_1,Myc_circle,384,390
52,Video11,Animal_1,Myc_circle,506,506
53,Video11,Animal_1,Myc_circle,534,543
54,Video11,Animal_1,Myc_circle,649,652
55,Video11,Animal_1,Myc_circle,671,674
56,Video11,Animal_1,Myc_circle,971,994
57,Video11,Animal_1,Myc_circle,996,999
58,Video11,Animal_1,Myc_circle,1110,1123
59,Video11,Animal_1,Myc_circle,1306,1327
60,Video11,Animal_1,Myc_circle,1447,1456
61,Video11,Animal_1,My_polygon,76,91
62,Video11,Animal_1,My_polygon,98,111
63,Video11,Animal_1,My_polygon,254,276
64,Video11,Animal_1,My_polygon,279,280
65,Video11,Animal_1,My_polygon,285,292
66,Video11,Animal_1,My_polygon,550,577
67,Video11,Animal_1,My_polygon,579,589
68,Video11,Animal_1,My_polygon,1132,1165
69,Video11,Animal_1,My_polygon,1202,1213
70,Video11,Animal_1,My_polygon,1261,1271
71,Video11,Animal_1,My_polygon,1478,1478
72,Video12,Animal_1,My_rectangle,81,82
73,Video12,Animal_1,My_rectangle,143,147
74,Video12,Animal_1,My_rectangle,167,167
75,Video12,Animal_1,My_rectangle,671,671
76,Video12,Animal_1,My_rectangle,684,685
77,Video12,Animal_1,My_rectangle,805,850
78,Video12,Animal_1,My_rectangle,1237,1246
79,Video12,Animal_1,My_rectangle,1253,1253
80,Video12,Animal_1,My_rectangle,1255,1256
81,Video12,Animal_1,My_rectangle,1321,1344
82,Video12,Animal_1,My_rectangle,1355,1384
83,Video12,Animal_1,My_rectangle,1394,1401
84,Video12,Animal_1,My_rectangle,1420,1434
85,Video12,Animal_1,Myc_circle,83,112
86,Video12,Animal_1,Myc_circle,122,123
87,Video12,Animal_1,Myc_circle,235,240
88,Video12,Animal_1,Myc_circle,302,312
89,Video12,Animal_1,Myc_circle,548,548
90,Video12,Animal_1,Myc_circle,594,618
91,Video12,Animal_1,Myc_circle,631,633
92,Video12,Animal_1,Myc_circle,635,639
93,Video12,Animal_1,Myc_circle,642,642
94,Video12,Animal_1,Myc_circle,647,652
95,Video12,Animal_1,Myc_circle,656,656
96,Video12,Animal_1,Myc_circle,658,658
97,Video12,Animal_1,Myc_circle,665,669
98,Video12,Animal_1,Myc_circle,761,776
99,Video12,Animal_1,Myc_circle,851,866
100,Video12,Animal_1,Myc_circle,1167,1197
101,Video12,Animal_1,Myc_circle,1580,1593
102,Video12,Animal_1,Myc_circle,1597,1603
103,Video12,Animal_1,Myc_circle,1619,1649
104,Video12,Animal_1,My_polygon,0,14
105,Video12,Animal_1,My_polygon,19,19
106,Video12,Animal_1,My_polygon,21,21
107,Video12,Animal_1,My_polygon,29,31
108,Video12,Animal_1,My_polygon,42,42
109,Video12,Animal_1,My_polygon,49,50
110,Video12,Animal_1,My_polygon,170,181
111,Video12,Animal_1,My_polygon,208,230
112,Video12,Animal_1,My_polygon,326,349
113,Video12,Animal_1,My_polygon,387,405
114,Video12,Animal_1,My_polygon,539,547
115,Video12,Animal_1,My_polygon,551,559
116,Video12,Animal_1,My_polygon,691,697
117,Video12,Animal_1,My_polygon,712,720
118,Video12,Animal_1,My_polygon,869,881
119,Video12,Animal_1,My_polygon,1008,1016
120,Video12,Animal_1,My_polygon,1018,1051
121,Video13,Animal_1,My_rectangle,52,73
122,Video13,Animal_1,My_rectangle,445,526
123,Video13,Animal_1,My_rectangle,543,582
124,Video13,Animal_1,My_rectangle,605,684
125,Video13,Animal_1,My_rectangle,821,842
126,Video13,Animal_1,My_rectangle,1436,1548
127,Video13,Animal_1,Myc_circle,143,239
128,Video13,Animal_1,Myc_circle,308,346
129,Video13,Animal_1,Myc_circle,692,720
130,Video13,Animal_1,Myc_circle,726,728
131,Video13,Animal_1,Myc_circle,730,730
132,Video13,Animal_1,Myc_circle,737,746
133,Video13,Animal_1,Myc_circle,749,749
134,Video13,Animal_1,Myc_circle,751,756
135,Video13,Animal_1,Myc_circle,865,964
136,Video13,Animal_1,Myc_circle,986,986
137,Video13,Animal_1,Myc_circle,995,995
138,Video13,Animal_1,Myc_circle,1021,1054
139,Video13,Animal_1,My_polygon,1066,1126
140,Video13,Animal_1,My_polygon,1161,1204
141,Video13,Animal_1,My_polygon,1207,1207
142,Video14,Animal_1,My_rectangle,48,59
143,Video14,Animal_1,My_rectangle,239,255
144,Video14,Animal_1,My_rectangle,395,406
145,Video14,Animal_1,My_rectangle,523,542
146,Video14,Animal_1,My_rectangle,555,561
147,Video14,Animal_1,My_rectangle,706,729
148,Video14,Animal_1,My_rectangle,983,1030
149,Video14,Animal_1,My_rectangle,1086,1087
150,Video14,Animal_1,My_rectangle,1420,1423
151,Video14,Animal_1,My_rectangle,1448,1470
152,Video14,Animal_1,Myc_circle,7,13
153,Video14,Animal_1,Myc_circle,159,161
154,Video14,Animal_1,Myc_circle,226,237
