,VIDEO,ANIMAL,BODY-PART,SHAPE NAME,START TIME,END TIME,START FRAME,END FRAME,DURATION (S)
0,501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,319.4333333,319.9666667,9583,9598,0.533333333
1,501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,320.4,321.1,9612,9632,0.7
2,501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,332.3333333,333.3666667,9970,10000,1.033333333
3,501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,931.4,931.6666667,27942,27949,0.266666667
4,501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,934.1666667,934.7666667,28025,28042,0.6
5,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,182.6333333,182.7666667,5479,5482,0.133333333
6,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,183.2,183.2666667,5496,5497,0.066666667
7,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,183.6333333,183.7666667,5509,5512,0.133333333
8,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,312.4333333,313.9666667,9373,9418,1.533333333
9,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,569.3666667,569.9,17081,17096,0.533333333
10,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,570.2,570.3333333,17106,17109,0.133333333
11,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,570.6,570.6333333,17118,17118,0.033333333
12,501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,890.5666667,893.4333333,26717,26802,2.866666667
13,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,12.3,12.4,369,371,0.1
14,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,12.43333333,14.53333333,373,435,2.1
15,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,15.73333333,16,472,479,0.266666667
16,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,16.5,17.93333333,495,537,1.433333333
17,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,21,38.03333333,630,1140,17.03333333
18,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,38.8,47.23333333,1164,1416,8.433333333
19,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,58.1,58.2,1743,1745,0.1
20,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,58.9,59.06666667,1767,1771,0.166666667
21,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,59.4,60.46666667,1782,1813,1.066666667
22,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,60.63333333,61.16666667,1819,1834,0.533333333
23,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,66.2,71.66666667,1986,2149,5.466666667
24,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,74.66666667,74.73333333,2240,2241,0.066666667
25,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,79.36666667,79.9,2381,2396,0.533333333
26,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,79.96666667,80.2,2399,2405,0.233333333
27,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,80.3,80.56666667,2409,2416,0.266666667
28,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,81.3,81.4,2439,2441,0.1
29,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,82.6,82.96666667,2478,2488,0.366666667
30,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,83.03333333,83.06666667,2491,2491,0.033333333
31,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,83.1,83.13333333,2493,2493,0.033333333
32,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,83.36666667,85.06666667,2501,2551,1.7
33,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,85.26666667,87.46666667,2558,2623,2.2
34,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,88.73333333,91.36666667,2662,2740,2.633333333
35,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,91.4,91.43333333,2742,2742,0.033333333
36,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,91.56666667,93.83333333,2747,2814,2.266666667
37,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,94.8,95.1,2844,2852,0.3
38,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,95.3,95.36666667,2859,2860,0.066666667
39,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,117.0333333,117.2,3511,3515,0.166666667
40,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,123.2,123.9333333,3696,3717,0.733333333
41,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,124.4333333,125,3733,3749,0.566666667
42,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,128.7666667,128.9,3863,3866,0.133333333
43,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,128.9666667,129.5666667,3869,3886,0.6
44,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,132,132.9666667,3960,3988,0.966666667
45,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,133,133.1333333,3990,3993,0.133333333
46,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,133.4,133.6666667,4002,4009,0.266666667
47,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,134.2,134.3666667,4026,4030,0.166666667
48,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,216.3666667,229.8333333,6491,6894,13.46666667
49,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,243.9,244.2,7317,7325,0.3
50,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,244.9333333,245.4333333,7348,7362,0.5
51,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,253.7666667,263.5333333,7613,7905,9.766666667
52,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,264.2666667,279.2,7928,8375,14.93333333
53,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,282.5333333,282.6333333,8476,8478,0.1
54,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,283.4,283.4333333,8502,8502,0.033333333
55,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,283.4666667,283.5,8504,8504,0.033333333
56,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,284.1,284.1333333,8523,8523,0.033333333
57,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,284.3,284.8333333,8529,8544,0.533333333
58,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,284.9666667,286.4666667,8549,8593,1.5
59,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,289,293.2,8670,8795,4.2
60,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,293.8,294.2666667,8814,8827,0.466666667
61,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,294.4333333,300.1666667,8833,9004,5.733333333
62,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,300.3666667,300.4333333,9011,9012,0.066666667
63,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,303.3333333,303.5666667,9100,9106,0.233333333
64,501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,335.5333333,338.7666667,10066,10162,3.233333333
