,Animal_1 movement Ear_left_1 (mm),Animal_1 movement Ear_right_1 (mm),Animal_1 movement Nose_1 (mm),Animal_1 movement Center_1 (mm),Animal_1 movement Lat_left_1 (mm),Animal_1 movement Lat_right_1 (mm),Animal_1 movement Tail_base_1 (mm),Animal_2 movement Ear_left_2 (mm),Animal_2 movement Ear_right_2 (mm),Animal_2 movement Nose_2 (mm),Animal_2 movement Center_2 (mm),Animal_2 movement Lat_left_2 (mm),Animal_2 movement Lat_right_2 (mm),Animal_2 movement Tail_base_2 (mm)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1.3,0.67,0.6,7.14,3.53,0.23,0,6.51,5.59,3.56,3.24,1.02,0.83,4.03
2,0.91,0,0.12,0.52,1.43,0.51,0,7.08,0,3.05,4.4,3.79,8.63,3.53
3,0.4,1.21,0.47,0.54,0.1,3.91,0,9.31,0,0,4.88,11.41,4.43,3
4,0.63,0.51,0.63,1.16,0.55,0.44,0,16.04,0,0,2.89,2.26,0.61,2.04
5,1.91,0,0.78,3.38,0.56,0.57,0,4.68,0,0,1.43,3.36,0.18,3.11
6,1.9,0,0.87,3.85,0.43,0.51,0,7.62,0,0,0.16,1.73,0.4,2.41
7,0.45,0,0.81,3.31,0.23,0.53,0,14,0,0,1.83,2.27,1.44,1.06
8,1.86,0,0.71,2.76,0.11,0.23,0,8.33,0,10.31,1.94,7.82,2.76,1.4
9,2.27,0,0.64,0.28,0.22,0.46,466.52,3.77,0,2.68,1.22,6.42,2.44,0.63
10,1.42,0,0.39,0.76,0.2,0.45,0.23,3.26,0,1.62,1.34,1.62,1.37,0.44
11,1.14,0.5,0.12,0.19,0.21,0.23,0.08,13.59,0,0,2.76,6.19,2.59,1.83
12,0.02,1.08,0.7,0.98,0.57,0.4,0.37,20.82,20.29,0,2.58,3.37,3.76,3.21
13,1.71,1.72,0.57,0.51,1.18,2,0.56,15.66,7.41,16.08,7.01,5.37,6.59,3.32
14,4.51,2.36,1.12,0.78,1.41,4.76,1.66,15.5,4.18,0,2.22,4.73,15.82,2.93
15,4.26,3.04,3.48,2.02,0.51,1.78,5.25,12.93,4.88,0,4.5,2.38,6.42,3.75
16,4.01,3.69,6.18,1.27,6.94,0.21,8.43,6.78,5.87,0,2.92,0.99,4.39,4.65
17,4.16,4.87,0,5.43,7.62,1.88,6.24,3.05,0,0,2.66,1.26,3.35,5.28
18,1.94,7.19,7.56,5.21,6.38,9.05,4.73,2.76,0,0,4.02,1.57,4.24,4.92
19,4.21,1.92,2.04,2.83,7.16,2.52,1.85,4.57,0,0,1.21,1.39,4.95,3.9
20,2.51,2.39,1.38,5.69,6.09,2.74,0.89,3.3,0,0,3.17,0.7,0.62,3.01
21,2.9,0.2,3.16,6.56,0,7.46,0.29,4.18,0,0,3.02,1.76,4.71,1.7
22,3.29,0,0,6.29,525.26,2.96,1.64,14.24,0,0,3.92,1.85,3.63,1.04
23,3.53,0,0,5.72,0,3.93,3.5,14.44,0,0,4.15,3.43,1.53,2.76
24,3.83,0,0,5.59,0,3.9,4.95,11.33,28,66.53,2.25,5.96,34.41,4.51
25,4.36,0,0,12.19,0,4.35,5.59,8.75,1.8,6.23,0.7,0.86,3.24,2.2
26,4.24,0,15.7,8.55,563.2,4.3,5.39,8.85,0,6.25,1.1,3.01,2.11,2.08
27,2.93,0,3.03,6.27,6.67,3.43,4.35,6.75,0,0,1.05,0,1.5,2.84
28,3.17,0,0,9.56,7.36,4.16,4.96,6.43,0,0,5.25,0,2.28,1.46
29,4.28,0,0,6.21,5.7,2.8,3.87,4.48,0,0,4.92,0,4.69,1
30,22.95,0,0,0,0,24.6,21.78,3.26,0,0,3.1,0,3.96,1.81
31,2,0,0,0,580.74,2.17,0.87,2.42,0,0,1.7,0,1.29,1.68
32,2.38,0,0,0,0,1.94,0.94,2.16,0,0,1.41,0,5.75,0.67
33,4.09,0,0,0,0,3.95,0.18,1.51,0,0,0,0,1.79,0.4
34,7.23,23.74,7.45,41.13,530.6,2.9,0.87,0.75,0,0,0,0,0.5,0.39
35,20.03,10.75,6.59,12.74,0.95,6.17,2.39,1.43,0,0,6.72,0,1.89,0.11
36,15.88,17.11,9.53,0,1.08,7.71,2.88,2.33,0,25.14,2.91,25.58,6.3,0.24
37,20.07,16.25,0,19.12,1.39,4.4,2.37,2.79,0,2.42,2.6,2.24,3.21,0.83
38,12.72,9.9,0,0,11.26,4.76,1.25,1.91,0,1.52,2.16,1.88,10.65,1.78
39,6.11,6.17,0,0,4.75,4.52,0,2.06,0,2.75,1.84,0,1.89,2.22
40,1,6.29,0,0,2.75,0,487.22,0.14,0,3.86,2.06,0,2.86,1.9
41,2.83,3.44,0,0,2.46,0,0,1.68,0,1.97,1.65,0,2.19,0.99
42,6.33,2.51,0,0,1.07,0,0,2.25,0,1.11,0.49,0,0.57,0.45
43,5.83,0,0,0,6.34,0,493.29,2.07,0,2.91,0,0,0.58,1.11
44,3.18,0,0,0,13.71,0,0,5.77,0,4.07,0,0,1.01,2.06
45,13.34,0,0,0,5.87,0,493.29,8.49,0,0,0,0,1.77,3.06
46,7.87,0,0,0,12.77,0,0,7.57,45.49,0,0,0,18.4,3.59
47,12.64,0,0,0,8.7,0,0,7.45,0,0,0,0,4.12,3.91
48,9.04,0,0,0,15.26,0,0,9.16,0,0,0,0,3.42,2.13
49,4.95,0,0,0,3.16,0,510.21,4.73,0,0,0,0,2.63,0.53
50,2.51,0,0,0,1.24,0,4.76,7.44,0,0,0,0,1.07,0.4
51,1.52,0,0,0,1.04,0,2.61,3.31,0,0,0,0,0.51,0.25
52,5.08,0,0,0,0.37,0,0.1,4.81,0,0,0,0,1.68,0.67
53,0.36,0,0,0,0.11,0,1.42,4.54,0,0,0,0,4.37,1.93
54,2.45,0,0,0,0.36,0,0.91,1.6,0,0,0,0,0.6,3.52
55,2.89,0,0,0,0.38,0,1.05,3.19,0,0,0,0,11.11,4.69
56,3.33,0,0,0,2.1,0,2.84,4.46,0,34.25,0,7.38,0.84,5.1
57,3.96,0,0,0,4.3,0,4.11,4.5,21.48,2.3,0,0,2.5,4.04
58,4.52,0,0,0,4.27,0,4.94,3.63,0,2.95,0,0,6.04,2.2
59,4.03,0,0,0,2.55,0,5.33,5.69,0,5.25,0,0,1.83,1.65
60,2.4,0,0,0,2.26,0,5.22,6.64,0,4.27,0,0,0.82,0.92
61,0.85,0,0,0,2.42,0,4.61,5.13,0,2.7,0,0,4.29,0.61
62,0.42,0,0,0,2.7,0,3.69,3.39,0,3.55,0,0,0.48,1.39
63,1.11,0,0,0,3.09,0,3.61,2.72,0,5.67,0,0,1.97,1
64,3.11,0,0,0,3.58,0,5.45,6.55,0,0,0,0,9.06,0.28
65,5.28,0,0,0,4.11,0,5.92,8.38,0,0,0,0,5.91,1.41
66,7.27,0,0,0,4.33,0,6.21,4.34,0,0,0,0,3.05,2.32
67,7.41,84.73,0,0,5.72,0,5.66,7.56,0,0,0,0,3.33,3.06
68,6.55,0,116.96,0,9.84,0,5.15,8.4,0,0,0,0,3.76,2.73
69,5.1,0,0,0,6.88,0,5.71,7.03,0,0,0,0,1.21,3.04
70,4.73,0,0,0,6.77,0,6.35,2.89,0,0,0,0,1.11,3.52
71,4.93,0,0,0,2.96,0,6.64,3.64,0,0,0,0,1.5,0
72,6.7,0,0,0,9.56,0,6.92,0.64,0,25.24,0,0,2.97,400.17
73,7.47,0,0,0,9.03,0,7.41,6.13,0,0,0,0,4.86,0
74,3.62,0,0,0,7.02,0,8.68,3.73,0,0,0,0,2.7,0
75,12.87,62.01,0,0,6.74,0,11.1,4.99,0,10.17,0,0,6.3,0
