VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),8.566301668828677
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),182.63333333333333
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),890.5666666666667
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),0.6791666666666667
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),8.0
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),27.101303497246754
501_MA142_Gi_CNO_0521,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),5.433333333333334
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),1.4993051532052022
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),12.3
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1175.1666666666667
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),2.9958525345622116
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),217.0
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),685.1131662359611
501_MA142_Gi_CNO_0521,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),650.0999999999999
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),3.0065244889923157
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),319.43333333333334
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),934.1666666666666
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),0.6266666666666667
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),5.0
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),9.288943218045878
501_MA142_Gi_CNO_0521,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),3.1333333333333333
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),2.0899485991661173
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),740.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),740.9
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),0.3222222222222222
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),3.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),1.0847060323644584
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),0.9666666666666666
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),2.69933390843767
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),768.7666666666667
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),768.7666666666667
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),0.5333333333333333
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),1.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),1.349666954218835
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),0.5333333333333333
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),1.5154818435294732
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),18.233333333333334
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1233.6666666666667
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),3.5838435374149658
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),196.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),991.9277908015109
501_MA142_Gi_DCZ_0603,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI TIME (S),702.4333333333333
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,AVERAGE ROI VELOCITY (CM/S),4.854212669330298
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,FIRST ROI ENTRY TIME (S),90.16666666666667
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,LAST ROI ENTRY TIME (S),1180.0666666666666
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,MEAN ROI BOUT TIME (S),2.074324324324324
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,ROI ENTRIES (COUNTS),74.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI MOVEMENT (CM),535.5049886690614
501_MA142_Gi_Saline_0513,Animal_1,Center,My_circle,circle,TOTAL ROI TIME (S),153.5
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,AVERAGE ROI VELOCITY (CM/S),2.561499825734031
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,FIRST ROI ENTRY TIME (S),61.2
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,LAST ROI ENTRY TIME (S),1205.4666666666667
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,MEAN ROI BOUT TIME (S),1.323076923076923
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,ROI ENTRIES (COUNTS),91.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI MOVEMENT (CM),222.31641440725122
501_MA142_Gi_Saline_0513,Animal_1,Center,My_polygon,polygon,TOTAL ROI TIME (S),120.39999999999999
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,AVERAGE ROI VELOCITY (CM/S),4.392221836979373
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,FIRST ROI ENTRY TIME (S),86.83333333333333
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,LAST ROI ENTRY TIME (S),1054.5666666666666
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,MEAN ROI BOUT TIME (S),1.4411522633744855
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,ROI ENTRIES (COUNTS),81.0
501_MA142_Gi_Saline_0513,Animal_1,Center,My_rectangle,rectangle,TOTAL ROI MOVEMENT (CM),320.98740248810486
