VIDEO,SHAPE,ANIMAL,BODY-PART,TIME-BIN #,TIME-BIN START TIME (S),TIME-BIN END TIME (S),TIME-BIN START FRAME (#),TIME-BIN END FRAME (#),MEASUREMENT,VALUE
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,AVERAGE ROI VELOCITY (CM/S),7.221096307039261
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,FIRST ROI ENTRY TIME (S),90.16666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,LAST ROI ENTRY TIME (S),90.16666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,PIXEL TO MILLIMETER CONVERSION FACTOR,2.21126
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,ROI ENTRIES (COUNTS),1
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,TOTAL ROI TIME (S),0.06666666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,TOTAL ROI TIME (S),0.43950319290161133
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,VIDEO FPS,30.0
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,0,0.0,119.96666666666667,0,3599,VIDEO LENGTH (S),1206.6666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,AVERAGE ROI VELOCITY (CM/S),3.5085561059672257
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,FIRST ROI ENTRY TIME (S),131.33333333333334
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,LAST ROI ENTRY TIME (S),225.2
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,PIXEL TO MILLIMETER CONVERSION FACTOR,2.21126
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,ROI ENTRIES (COUNTS),10
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,TOTAL ROI TIME (S),28.133333333333333
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,TOTAL ROI TIME (S),99.63406372070312
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,VIDEO FPS,30.0
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,1,120.0,239.96666666666667,3600,7199,VIDEO LENGTH (S),1206.6666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,AVERAGE ROI VELOCITY (CM/S),3.018255241587758
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,FIRST ROI ENTRY TIME (S),248.8
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,LAST ROI ENTRY TIME (S),344.93333333333334
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,PIXEL TO MILLIMETER CONVERSION FACTOR,2.21126
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,ROI ENTRIES (COUNTS),10
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,TOTAL ROI TIME (S),39.56666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,TOTAL ROI TIME (S),119.5591812133789
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,VIDEO FPS,30.0
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,2,240.0,359.96666666666664,7200,10799,VIDEO LENGTH (S),1206.6666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,AVERAGE ROI VELOCITY (CM/S),4.764856862815428
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,FIRST ROI ENTRY TIME (S),404.3666666666667
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,LAST ROI ENTRY TIME (S),474.3333333333333
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,PIXEL TO MILLIMETER CONVERSION FACTOR,2.21126
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,ROI ENTRIES (COUNTS),19
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,TOTAL ROI TIME (S),20.766666666666666
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,TOTAL ROI TIME (S),98.13819122314453
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,VIDEO FPS,30.0
501_MA142_Gi_Saline_0513,My_circle,Animal_1,Center,3,360.0,479.96666666666664,10800,14399,VIDEO LENGTH (S),1206.6666666666667
