VIDEO,SHAPE,ANIMAL,BODY-PART,TIME BIN #,ENTRY COUNT
Together_1,Polygon_1,Animal_1,Ear_left_1,0,0
Together_1,Polygon_1,Animal_1,Ear_left_1,1,0
Together_1,Polygon_1,Animal_1,Ear_left_1,2,1
Together_1,Polygon_1,Animal_1,Ear_left_1,3,1
Together_1,Polygon_1,Animal_1,Ear_left_1,4,0
Together_1,Polygon_1,Animal_1,Ear_left_1,5,1
Together_1,Polygon_1,Animal_1,Ear_left_1,6,0
Together_1,Polygon_1,Animal_1,Ear_left_1,7,0
Together_1,Polygon_1,Animal_1,Ear_left_1,8,0
Together_1,Polygon_1,Animal_1,Ear_left_1,9,0
Together_1,Polygon_1,Animal_1,Ear_left_1,10,1
Together_1,Polygon_1,Animal_1,Ear_left_1,11,0
Together_1,Polygon_1,Animal_2,Nose_2,0,0
Together_1,Polygon_1,Animal_2,Nose_2,1,1
Together_1,Polygon_1,Animal_2,Nose_2,2,1
Together_1,Polygon_1,Animal_2,Nose_2,3,1
Together_1,Polygon_1,Animal_2,Nose_2,4,0
Together_1,Polygon_1,Animal_2,Nose_2,5,1
Together_1,Polygon_1,Animal_2,Nose_2,6,0
Together_1,Polygon_1,Animal_2,Nose_2,7,0
Together_1,Polygon_1,Animal_2,Nose_2,8,0
Together_1,Polygon_1,Animal_2,Nose_2,9,0
Together_1,Polygon_1,Animal_2,Nose_2,10,4
Together_1,Polygon_1,Animal_2,Nose_2,11,0
Together_1,Rectangle_1,Animal_1,Ear_left_1,0,2
Together_1,Rectangle_1,Animal_1,Ear_left_1,1,0
Together_1,Rectangle_1,Animal_1,Ear_left_1,2,1
Together_1,Rectangle_1,Animal_1,Ear_left_1,3,0
Together_1,Rectangle_1,Animal_1,Ear_left_1,4,2
Together_1,Rectangle_1,Animal_1,Ear_left_1,5,0
Together_1,Rectangle_1,Animal_1,Ear_left_1,6,2
Together_1,Rectangle_1,Animal_1,Ear_left_1,7,1
Together_1,Rectangle_1,Animal_1,Ear_left_1,8,1
Together_1,Rectangle_1,Animal_1,Ear_left_1,9,4
Together_1,Rectangle_1,Animal_1,Ear_left_1,10,0
Together_1,Rectangle_1,Animal_1,Ear_left_1,11,0
Together_1,Rectangle_1,Animal_2,Nose_2,0,2
Together_1,Rectangle_1,Animal_2,Nose_2,1,0
Together_1,Rectangle_1,Animal_2,Nose_2,2,2
Together_1,Rectangle_1,Animal_2,Nose_2,3,0
Together_1,Rectangle_1,Animal_2,Nose_2,4,1
Together_1,Rectangle_1,Animal_2,Nose_2,5,0
Together_1,Rectangle_1,Animal_2,Nose_2,6,0
Together_1,Rectangle_1,Animal_2,Nose_2,7,1
Together_1,Rectangle_1,Animal_2,Nose_2,8,1
Together_1,Rectangle_1,Animal_2,Nose_2,9,1
Together_1,Rectangle_1,Animal_2,Nose_2,10,2
Together_1,Rectangle_1,Animal_2,Nose_2,11,0
