VIDEO,SHAPE,ANIMAL,BODY-PART,TIME BIN #,TIME INSIDE SHAPE (S)
Together_1,Polygon_1,Animal_1,Ear_left_1,0,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,1,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,2,1.1333333333333333
Together_1,Polygon_1,Animal_1,Ear_left_1,3,0.6666666666666666
Together_1,Polygon_1,Animal_1,Ear_left_1,4,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,5,1.5333333333333334
Together_1,Polygon_1,Animal_1,Ear_left_1,6,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,7,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,8,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,9,0.0
Together_1,Polygon_1,Animal_1,Ear_left_1,10,2.433333333333333
Together_1,Polygon_1,Animal_1,Ear_left_1,11,0.0
Together_1,Polygon_1,Animal_2,Nose_2,0,0.0
Together_1,Polygon_1,Animal_2,Nose_2,1,0.13333333333333333
Together_1,Polygon_1,Animal_2,Nose_2,2,1.5333333333333334
Together_1,Polygon_1,Animal_2,Nose_2,3,1.0
Together_1,Polygon_1,Animal_2,Nose_2,4,0.3
Together_1,Polygon_1,Animal_2,Nose_2,5,0.3333333333333333
Together_1,Polygon_1,Animal_2,Nose_2,6,0.6666666666666666
Together_1,Polygon_1,Animal_2,Nose_2,7,0.0
Together_1,Polygon_1,Animal_2,Nose_2,8,0.0
Together_1,Polygon_1,Animal_2,Nose_2,9,0.0
Together_1,Polygon_1,Animal_2,Nose_2,10,1.1666666666666667
Together_1,Polygon_1,Animal_2,Nose_2,11,0.0
Together_1,Rectangle_1,Animal_1,Ear_left_1,0,3.5
Together_1,Rectangle_1,Animal_1,Ear_left_1,1,2.8666666666666667
Together_1,Rectangle_1,Animal_1,Ear_left_1,2,0.06666666666666667
Together_1,Rectangle_1,Animal_1,Ear_left_1,3,0.0
Together_1,Rectangle_1,Animal_1,Ear_left_1,4,2.566666666666667
Together_1,Rectangle_1,Animal_1,Ear_left_1,5,0.0
Together_1,Rectangle_1,Animal_1,Ear_left_1,6,0.8
Together_1,Rectangle_1,Animal_1,Ear_left_1,7,1.9333333333333333
Together_1,Rectangle_1,Animal_1,Ear_left_1,8,1.4666666666666666
Together_1,Rectangle_1,Animal_1,Ear_left_1,9,2.6333333333333333
Together_1,Rectangle_1,Animal_1,Ear_left_1,10,0.0
Together_1,Rectangle_1,Animal_1,Ear_left_1,11,0.0
Together_1,Rectangle_1,Animal_2,Nose_2,0,3.5
Together_1,Rectangle_1,Animal_2,Nose_2,1,0.8666666666666667
Together_1,Rectangle_1,Animal_2,Nose_2,2,0.7666666666666667
Together_1,Rectangle_1,Animal_2,Nose_2,3,3.6666666666666665
Together_1,Rectangle_1,Animal_2,Nose_2,4,4.633333333333334
Together_1,Rectangle_1,Animal_2,Nose_2,5,1.8
Together_1,Rectangle_1,Animal_2,Nose_2,6,0.0
Together_1,Rectangle_1,Animal_2,Nose_2,7,2.9
Together_1,Rectangle_1,Animal_2,Nose_2,8,1.1666666666666667
Together_1,Rectangle_1,Animal_2,Nose_2,9,0.9333333333333333
Together_1,Rectangle_1,Animal_2,Nose_2,10,0.9333333333333333
Together_1,Rectangle_1,Animal_2,Nose_2,11,0.6333333333333333
