Video,Time bin #,Time bin start (s),Time bin end (s),Animal,ROI,Time
Video_1,0,0,59,Animal_1,Rectangle_1,0
Video_1,0,0,59,Animal_1,Rectangle_2,0
Video_1,0,0,59,Animal_1,Circle_1,0
Video_1,0,0,59,Animal_1,Circle_2,0
Video_1,0,0,59,Animal_1,Polygon_1,0
Video_1,1,60,119,Animal_1,Rectangle_1,0
Video_1,1,60,119,Animal_1,Rectangle_2,0
Video_1,1,60,119,Animal_1,Circle_1,0
Video_1,1,60,119,Animal_1,Circle_2,4.47
Video_1,1,60,119,Animal_1,Polygon_1,0
Video_1,2,120,179,Animal_1,Rectangle_1,0
Video_1,2,120,179,Animal_1,Rectangle_2,0
Video_1,2,120,179,Animal_1,Circle_1,0
Video_1,2,120,179,Animal_1,Circle_2,0
Video_1,2,120,179,Animal_1,Polygon_1,0
Video_1,3,180,239,Animal_1,Rectangle_1,0
Video_1,3,180,239,Animal_1,Rectangle_2,0
Video_1,3,180,239,Animal_1,Circle_1,0
Video_1,3,180,239,Animal_1,Circle_2,0
Video_1,3,180,239,Animal_1,Polygon_1,0
Video_1,4,240,299,Animal_1,Rectangle_1,0
Video_1,4,240,299,Animal_1,Rectangle_2,0
Video_1,4,240,299,Animal_1,Circle_1,0
Video_1,4,240,299,Animal_1,Circle_2,0
Video_1,4,240,299,Animal_1,Polygon_1,0
Video_1,5,300,359,Animal_1,Rectangle_1,0.75
Video_1,5,300,359,Animal_1,Rectangle_2,0
Video_1,5,300,359,Animal_1,Circle_1,0
Video_1,5,300,359,Animal_1,Circle_2,0
Video_1,5,300,359,Animal_1,Polygon_1,0.69
Video_1,6,360,393,Animal_1,Rectangle_1,0.36
Video_1,6,360,393,Animal_1,Rectangle_2,0
Video_1,6,360,393,Animal_1,Circle_1,0.15
Video_1,6,360,393,Animal_1,Circle_2,0
Video_1,6,360,393,Animal_1,Polygon_1,0.72
