Video,Animal_1_TopLeft,Animal_2_TopLeft,Animal_1_BottomRight,Animal_2_BottomRight,Animal_1_MicCenter,Animal_2_MicCenter,Animal_1_MidLeft,Animal_2_MidLeft,Animal_1_MidRight,Animal_2_MidRight,Animal_1_Octagon,Animal_2_Octagon,Animal_1_Ringside,Animal_2_Ringside,Animal_1_TopLeft_%_of_session,Animal_2_TopLeft_%_of_session,Animal_1_BottomRight_%_of_session,Animal_2_BottomRight_%_of_session,Animal_1_MicCenter_%_of_session,Animal_2_MicCenter_%_of_session,Animal_1_MidLeft_%_of_session,Animal_2_MidLeft_%_of_session,Animal_1_MidRight_%_of_session,Animal_2_MidRight_%_of_session,Animal_1_Octagon_%_of_session,Animal_2_Octagon_%_of_session,Animal_1_Ringside_%_of_session,Animal_2_Ringside_%_of_session
Video10,3.54,2.28,2.55,4.8,2.73,1.8,3.99,2.4,0.3,0.27,0.12,0.15,3.33,0.96,0.064,0.041,0.046,0.087,0.050,0.033,0.073,0.044,0.005,0.005,0.002,0.003,0.061,0.017
Video11,1.05,1.17,2.46,3.42,2.01,1.71,1.23,1.59,0.84,0.21,0.03,0.06,1.11,1.41,0.019,0.021,0.045,0.062,0.037,0.031,0.022,0.029,0.015,0.004,0.001,0.001,0.020,0.026
Video12,2.04,0.54,3.27,2.73,3.57,2.28,1.59,4.2,1.14,4.26,0.09,0.0,3.3,0.33,0.037,0.010,0.059,0.050,0.065,0.041,0.029,0.076,0.021,0.077,0.002,0.000,0.060,0.006
Video13,2.16,1.74,2.85,10.68,3.21,0.0,2.76,5.82,2.31,0.0,0.0,0.03,5.25,0.84,0.042,0.034,0.055,0.207,0.062,0.000,0.053,0.113,0.045,0.000,0.000,0.001,0.102,0.016
Video14,3.81,0.45,6.39,14.73,2.82,0.06,2.7,6.9,0.93,0.15,0.45,0.18,0.96,0.03,0.069,0.008,0.116,0.268,0.051,0.001,0.049,0.125,0.017,0.003,0.008,0.003,0.017,0.001
Video15,5.67,2.55,3.57,3.15,1.5,1.11,2.85,3.21,0.12,0.0,0.0,0.0,1.29,2.82,0.103,0.046,0.065,0.057,0.027,0.020,0.052,0.058,0.002,0.000,0.000,0.000,0.023,0.051
Video17,7.71,5.19,5.25,5.25,0.54,0.78,1.8,2.58,0.45,0.69,0.06,1.05,2.7,5.04,0.140,0.094,0.095,0.095,0.010,0.014,0.033,0.047,0.008,0.013,0.001,0.019,0.049,0.092
Video18,2.07,0.6,4.83,7.08,1.02,1.65,5.49,3.33,1.05,0.24,0.03,0.0,4.38,0.6,0.038,0.011,0.088,0.129,0.019,0.030,0.100,0.061,0.019,0.004,0.001,0.000,0.080,0.011
Video19,3.06,1.68,1.62,1.71,1.26,0.96,3.27,2.25,0.27,0.03,0.0,0.0,2.07,0.63,0.060,0.033,0.032,0.034,0.025,0.019,0.064,0.044,0.005,0.001,0.000,0.000,0.041,0.012
Video20,0.9,1.38,14.43,27.84,0.27,0.0,7.41,12.09,0.27,0.0,0.51,0.0,0.66,0.0,0.016,0.025,0.262,0.506,0.005,0.000,0.135,0.220,0.005,0.000,0.009,0.000,0.012,0.000
Video21,3.45,2.7,5.25,4.92,0.15,0.0,1.53,1.56,0.12,0.12,0.0,0.12,0.42,0.27,0.063,0.049,0.095,0.089,0.003,0.000,0.028,0.028,0.002,0.002,0.000,0.002,0.008,0.005
Video22,4.14,1.38,6.51,2.73,2.25,1.59,2.28,1.53,0.87,0.27,0.0,0.06,1.95,0.75,0.075,0.025,0.118,0.050,0.041,0.029,0.041,0.028,0.016,0.005,0.000,0.001,0.035,0.014
Video23,3.72,2.43,4.59,1.89,3.06,0.81,2.88,1.11,0.36,0.27,0.3,0.6,1.17,0.45,0.068,0.044,0.083,0.034,0.056,0.015,0.052,0.020,0.007,0.005,0.005,0.011,0.021,0.008
Video24,5.7,4.08,8.7,3.75,1.26,0.57,1.35,0.54,0.6,0.6,0.45,0.0,0.93,0.06,0.104,0.074,0.158,0.068,0.023,0.010,0.025,0.010,0.011,0.011,0.008,0.000,0.017,0.001
Video25,2.04,0.57,0.96,1.47,0.51,0.42,3.27,0.45,0.06,0.09,0.0,0.09,0.99,0.06,0.063,0.018,0.030,0.045,0.016,0.013,0.101,0.014,0.002,0.003,0.000,0.003,0.031,0.002
Video26,4.5,2.19,1.83,1.62,0.36,0.45,0.75,2.88,0.33,0.81,0.0,0.0,0.78,0.27,0.139,0.068,0.057,0.050,0.011,0.014,0.023,0.089,0.010,0.025,0.000,0.000,0.024,0.008
Video7,1.56,1.2,0.87,4.41,0.81,1.2,1.41,1.23,0.06,0.39,0.0,0.09,0.06,1.74,0.028,0.022,0.016,0.080,0.015,0.022,0.026,0.022,0.001,0.007,0.000,0.002,0.001,0.032
Video8,2.85,2.25,1.86,6.6,2.76,1.59,1.68,0.36,0.15,0.42,0.09,0.15,2.16,0.0,0.052,0.041,0.034,0.120,0.050,0.029,0.031,0.007,0.003,0.008,0.002,0.003,0.039,0.000
Video9,3.93,2.88,2.31,4.5,1.83,1.62,3.06,8.22,0.81,0.99,0.33,0.12,0.66,1.41,0.071,0.052,0.042,0.082,0.033,0.029,0.056,0.149,0.015,0.018,0.006,0.002,0.012,0.026
Video_020609,5.4,3.68,0.84,2.8,11.2,5.52,0.0,0.44,30.32,42.68,3.08,3.84,11.36,15.48,0.009,0.006,0.001,0.005,0.019,0.009,0.000,0.001,0.050,0.071,0.005,0.006,0.019,0.026
