Male,Female,,,,,,,
CSDS01110.csv,Video_0101_CLIP_shorten.csv,,,,,,,
CSDS01301.csv,Video_0102_CLIP_shorten.csv,,,,,,,
CSDS01301_2.csv,Video_0104_CLIP_shorten.csv,,,,,,,
CSDS01302.csv,Video_0106_CLIP_shorten.csv,,,,,,,
CSDS01303.csv,Video_0110_CLIP_shorten.csv,,,,,,,
CSDS01304.csv,Video_0111_CLIP_shorten.csv,,,,,,,
CSDS01305.csv,Video_0113_CLIP_shorten.csv,,,,,,,
CSDS01306.csv,Video_0116_CLIP_shorten.csv,,,,,,,
CSDS01307.csv,Video_0118_CLIP_shorten.csv,,,,,,,
CSDS01308.csv,Video_0120_CLIP_shorten.csv,,,,,,,
CSDS01309.csv,Video_0201_CLIP_shorten.csv,,,,,,,
CSDS01701.csv,Video_0202_CLIP_shorten.csv,,,,,,,
CSDS01701_2.csv,Video_0204_CLIP_shorten.csv,,,,,,,
CSDS01702.csv,Video_0206_CLIP_shorten.csv,,,,,,,
CSDS01703.csv,Video_0210_CLIP_shorten.csv,,,,,,,
CSDS01704.csv,Video_0211_CLIP_shorten.csv,,,,,,,
CSDS01705.csv,Video_0213_CLIP_shorten.csv,,,,,,,
CSDS01706.csv,Video_0216_CLIP_shorten.csv,,,,,,,
CSDS01707.csv,Video_0218_CLIP_shorten.csv,,,,,,,
CSDS01708.csv,Video_0220_CLIP_shorten.csv,,,,,,,
CSDS01709.csv,Video_0301_CLIP_shorten.csv,,,,,,,
CSDS01710.csv,Video_0302_CLIP_shorten.csv,,,,,,,
CSDS01711.csv,Video_0304_CLIP_shorten.csv,,,,,,,
CSDS01712.csv,Video_0306_CLIP_shorten.csv,,,,,,,
CSDS01801.csv,Video_0310_CLIP_shorten.csv,,,,,,,
CSDS01802.csv,Video_0311_CLIP_shorten.csv,,,,,,,
CSDS01803.csv,Video_0313_CLIP_shorten.csv,,,,,,,
CSDS01804.csv,Video_0316_CLIP_shorten.csv,,,,,,,
CSDS01805.csv,Video_0318_CLIP_shorten.csv,,,,,,,
CSDS01806.csv,Video_0320_CLIP_shorten.csv,,,,,,,
CSDS01807.csv,Video_0401_CLIP_shorten.csv,,,,,,,
CSDS01808.csv,Video_0402_CLIP_shorten.csv,,,,,,,
CSDS01809.csv,Video_0404_CLIP_shorten.csv,,,,,,,
CSDS01810.csv,Video_0406_CLIP_shorten.csv,,,,,,,
CSDS01811.csv,Video_0410_CLIP_shorten.csv,,,,,,,
CSDS01812.csv,Video_0411_CLIP_shorten.csv,,,,,,,
CSDS02110.csv,Video_0413_CLIP_shorten.csv,,,,,,,
CSDS02301.csv,Video_0416_CLIP_shorten.csv,,,,,,,
CSDS02302.csv,Video_0418_CLIP_shorten.csv,,,,,,,
CSDS02303.csv,Video_0420_CLIP_shorten.csv,,,,,,,
CSDS02304.csv,Video_0501_CLIP_shorten.csv,,,,,,,
CSDS02305.csv,Video_0502_CLIP_shorten.csv,,,,,,,
CSDS02306.csv,Video_0504_CLIP_shorten.csv,,,,,,,
CSDS02307.csv,Video_0506_CLIP_shorten.csv,,,,,,,
CSDS02308.csv,Video_0510_CLIP_shorten.csv,,,,,,,
CSDS02309.csv,Video_0511_CLIP_shorten.csv,,,,,,,
CSDS02701.csv,Video_0513_CLIP_shorten.csv,,,,,,,
CSDS02702.csv,Video_0516_CLIP_shorten.csv,,,,,,,
CSDS02703.csv,Video_0518_CLIP_shorten.csv,,,,,,,
CSDS02704.csv,Video_0520_CLIP_shorten.csv,,,,,,,
CSDS02705.csv,Video_0601_CLIP_shorten.csv,,,,,,,
CSDS02706.csv,Video_0602_CLIP_shorten.csv,,,,,,,
CSDS02707.csv,Video_0604_CLIP_shorten.csv,,,,,,,
CSDS02708.csv,Video_0606_CLIP_shorten.csv,,,,,,,
CSDS02709.csv,Video_0610_CLIP_shorten.csv,,,,,,,
CSDS02710.csv,Video_0611_CLIP_shorten.csv,,,,,,,
CSDS02711.csv,Video_0613_CLIP_shorten.csv,,,,,,,
CSDS02712.csv,Video_0616_CLIP_shorten.csv,,,,,,,
CSDS02801.csv,Video_0618_CLIP_shorten.csv,,,,,,,
CSDS02802.csv,Video_0620_CLIP_shorten.csv,,,,,,,
CSDS02803.csv,Video_0701_CLIP_shorten.csv,,,,,,,
CSDS02804.csv,Video_0702_CLIP_shorten.csv,,,,,,,
CSDS02805.csv,Video_0704_CLIP_shorten.csv,,,,,,,
CSDS02806.csv,Video_0706_CLIP_shorten.csv,,,,,,,
CSDS02807.csv,Video_0710_CLIP_shorten.csv,,,,,,,
CSDS02808.csv,Video_0711_CLIP_shorten.csv,,,,,,,
CSDS02809.csv,Video_0713_CLIP_shorten.csv,,,,,,,
CSDS02810.csv,Video_0716_CLIP_shorten.csv,,,,,,,
CSDS02811.csv,Video_0718_CLIP_shorten.csv,,,,,,,
CSDS02812.csv,Video_0720_CLIP_shorten.csv,,,,,,,
CSDS03110.csv,Video_0801_CLIP_shorten.csv,,,,,,,
CSDS03301.csv,Video_0802_CLIP_shorten.csv,,,,,,,
CSDS03302.csv,Video_0804_CLIP_shorten.csv,,,,,,,
CSDS03303.csv,Video_0806_CLIP_shorten.csv,,,,,,,
CSDS03304.csv,Video_0810_CLIP_shorten.csv,,,,,,,
CSDS03305.csv,Video_0811_CLIP_shorten.csv,,,,,,,
CSDS03306.csv,Video_0813_CLIP_shorten.csv,,,,,,,
CSDS03307.csv,Video_0816_CLIP_shorten.csv,,,,,,,
CSDS03308.csv,Video_0818_CLIP_shorten.csv,,,,,,,
CSDS03309.csv,Video_0820_CLIP_shorten.csv,,,,,,,
CSDS03701.csv,Video_0901_CLIP_shorten.csv,,,,,,,
CSDS03702.csv,Video_0902_CLIP_shorten.csv,,,,,,,
CSDS03703.csv,Video_0904_CLIP_shorten.csv,,,,,,,
CSDS03704.csv,Video_0906_CLIP_shorten.csv,,,,,,,
CSDS03705.csv,Video_0910_CLIP_shorten.csv,,,,,,,
CSDS03706.csv,Video_0911_CLIP_shorten.csv,,,,,,,
CSDS03707.csv,Video_0913_CLIP_shorten.csv,,,,,,,
CSDS03708.csv,Video_0916_CLIP_shorten.csv,,,,,,,
CSDS03709.csv,Video_0918_CLIP_shorten.csv,,,,,,,
CSDS03710.csv,Video_0920_CLIP_shorten.csv,,,,,,,
CSDS03711.csv,Video_1001_CLIP_shorten.csv,,,,,,,
CSDS03712.csv,Video_1002_CLIP_shorten.csv,,,,,,,
CSDS03801.csv,Video_1004_CLIP_shorten.csv,,,,,,,
CSDS03802.csv,Video_1006_CLIP_shorten.csv,,,,,,,
CSDS03803.csv,Video_1010_CLIP_shorten.csv,,,,,,,
CSDS03804.csv,Video_1011_CLIP_shorten.csv,,,,,,,
CSDS03805.csv,Video_1013_CLIP_shorten.csv,,,,,,,
CSDS03806.csv,Video_1016_CLIP_shorten.csv,,,,,,,
CSDS03807.csv,Video_1018_CLIP_shorten.csv,,,,,,,
