VIDEO,TIME BIN #,ANIMAL,BODY-PART,MEASUREMENT,VALUE
Together_1,0,Animal_1,Nose_1,Movement (cm),0.5487
Together_1,0,Animal_1,Nose_1,Velocity (cm/s),1.0974
Together_1,1,Animal_1,Nose_1,Movement (cm),3.2738
Together_1,1,Animal_1,Nose_1,Velocity (cm/s),6.5475
Together_1,2,Animal_1,Nose_1,Movement (cm),4.451
Together_1,2,Animal_1,Nose_1,Velocity (cm/s),8.902
Together_1,3,Animal_1,Nose_1,Movement (cm),6.9573
Together_1,3,Animal_1,Nose_1,Velocity (cm/s),13.9147
Together_1,4,Animal_1,Nose_1,Movement (cm),5.1038
Together_1,4,Animal_1,Nose_1,Velocity (cm/s),10.2075
Together_1,5,Animal_1,Nose_1,Movement (cm),4.5845
Together_1,5,Animal_1,Nose_1,Velocity (cm/s),9.1689
Together_1,6,Animal_1,Nose_1,Movement (cm),2.9995
Together_1,6,Animal_1,Nose_1,Velocity (cm/s),5.9989
Together_1,7,Animal_1,Nose_1,Movement (cm),3.5802
Together_1,7,Animal_1,Nose_1,Velocity (cm/s),7.1605
Together_1,8,Animal_1,Nose_1,Movement (cm),6.4307
Together_1,8,Animal_1,Nose_1,Velocity (cm/s),12.8615
Together_1,9,Animal_1,Nose_1,Movement (cm),5.0925
Together_1,9,Animal_1,Nose_1,Velocity (cm/s),10.185
Together_1,10,Animal_1,Nose_1,Movement (cm),5.0028
Together_1,10,Animal_1,Nose_1,Velocity (cm/s),10.0056
Together_1,11,Animal_1,Nose_1,Movement (cm),3.6127
Together_1,11,Animal_1,Nose_1,Velocity (cm/s),7.2253
Together_1,12,Animal_1,Nose_1,Movement (cm),1.7883
Together_1,12,Animal_1,Nose_1,Velocity (cm/s),3.5766
Together_1,13,Animal_1,Nose_1,Movement (cm),4.9669
Together_1,13,Animal_1,Nose_1,Velocity (cm/s),9.9337
Together_1,14,Animal_1,Nose_1,Movement (cm),1.1614
Together_1,14,Animal_1,Nose_1,Velocity (cm/s),2.3227
Together_1,15,Animal_1,Nose_1,Movement (cm),5.437
Together_1,15,Animal_1,Nose_1,Velocity (cm/s),10.874
Together_1,16,Animal_1,Nose_1,Movement (cm),6.2993
Together_1,16,Animal_1,Nose_1,Velocity (cm/s),12.5986
Together_1,17,Animal_1,Nose_1,Movement (cm),1.8779
Together_1,17,Animal_1,Nose_1,Velocity (cm/s),3.7558
Together_1,18,Animal_1,Nose_1,Movement (cm),2.3825
Together_1,18,Animal_1,Nose_1,Velocity (cm/s),4.7651
Together_1,19,Animal_1,Nose_1,Movement (cm),3.1259
Together_1,19,Animal_1,Nose_1,Velocity (cm/s),6.2517
Together_1,20,Animal_1,Nose_1,Movement (cm),3.8512
Together_1,20,Animal_1,Nose_1,Velocity (cm/s),7.7024
Together_1,21,Animal_1,Nose_1,Movement (cm),4.3401
Together_1,21,Animal_1,Nose_1,Velocity (cm/s),8.6802
Together_1,22,Animal_1,Nose_1,Movement (cm),9.1683
Together_1,22,Animal_1,Nose_1,Velocity (cm/s),18.3365
Together_1,23,Animal_1,Nose_1,Movement (cm),10.1004
Together_1,23,Animal_1,Nose_1,Velocity (cm/s),20.2008
Together_1,24,Animal_1,Nose_1,Movement (cm),5.2387
Together_1,24,Animal_1,Nose_1,Velocity (cm/s),10.4775
Together_1,25,Animal_1,Nose_1,Movement (cm),15.4211
Together_1,25,Animal_1,Nose_1,Velocity (cm/s),30.8421
Together_1,26,Animal_1,Nose_1,Movement (cm),3.5459
Together_1,26,Animal_1,Nose_1,Velocity (cm/s),7.0919
Together_1,27,Animal_1,Nose_1,Movement (cm),7.4593
Together_1,27,Animal_1,Nose_1,Velocity (cm/s),14.9187
Together_1,28,Animal_1,Nose_1,Movement (cm),1.346
Together_1,28,Animal_1,Nose_1,Velocity (cm/s),2.6921
Together_1,29,Animal_1,Nose_1,Movement (cm),1.1787
Together_1,29,Animal_1,Nose_1,Velocity (cm/s),2.3574
Together_1,30,Animal_1,Nose_1,Movement (cm),0.6758
Together_1,30,Animal_1,Nose_1,Velocity (cm/s),1.3515
Together_1,31,Animal_1,Nose_1,Movement (cm),0.856
Together_1,31,Animal_1,Nose_1,Velocity (cm/s),1.7121
Together_1,32,Animal_1,Nose_1,Movement (cm),0.6305
Together_1,32,Animal_1,Nose_1,Velocity (cm/s),1.2611
Together_1,33,Animal_1,Nose_1,Movement (cm),4.4553
Together_1,33,Animal_1,Nose_1,Velocity (cm/s),8.9106
Together_1,34,Animal_1,Nose_1,Movement (cm),2.7953
Together_1,34,Animal_1,Nose_1,Velocity (cm/s),5.5906
Together_1,35,Animal_1,Nose_1,Movement (cm),5.5544
Together_1,35,Animal_1,Nose_1,Velocity (cm/s),11.1088
Together_1,36,Animal_1,Nose_1,Movement (cm),3.0716
Together_1,36,Animal_1,Nose_1,Velocity (cm/s),6.1433
Together_1,37,Animal_1,Nose_1,Movement (cm),2.1146
Together_1,37,Animal_1,Nose_1,Velocity (cm/s),4.2292
Together_1,38,Animal_1,Nose_1,Movement (cm),4.3111
Together_1,38,Animal_1,Nose_1,Velocity (cm/s),8.6222
Together_1,39,Animal_1,Nose_1,Movement (cm),7.3724
Together_1,39,Animal_1,Nose_1,Velocity (cm/s),14.7447
Together_1,40,Animal_1,Nose_1,Movement (cm),9.51
Together_1,40,Animal_1,Nose_1,Velocity (cm/s),19.0199
Together_1,41,Animal_1,Nose_1,Movement (cm),15.8358
Together_1,41,Animal_1,Nose_1,Velocity (cm/s),31.6717
Together_1,42,Animal_1,Nose_1,Movement (cm),14.3361
Together_1,42,Animal_1,Nose_1,Velocity (cm/s),28.6722
