Video,Time bin #,Measurement,variable,Value
Together_1,0,First occurance (s),Attack,0.033
Together_1,0,Event count,Attack,2.0
Together_1,0,Total event duration (s),Attack,0.932
Together_1,0,Mean event duration (s),Attack,0.466
Together_1,0,Median event duration (s),Attack,0.466
Together_1,0,Mean event interval (s),Attack,7.421
Together_1,0,Median event interval (s),Attack,7.421
Together_1,0,First occurance (s),Sniffing,0.399
Together_1,0,Event count,Sniffing,1.0
Together_1,0,Total event duration (s),Sniffing,0.366
Together_1,0,Mean event duration (s),Sniffing,0.366
Together_1,0,Median event duration (s),Sniffing,0.366
Together_1,0,Mean event interval (s),Sniffing,
Together_1,0,Median event interval (s),Sniffing,
Together_1,1,First occurance (s),Attack,29.85
Together_1,1,Event count,Attack,1.0
Together_1,1,Total event duration (s),Attack,0.133
Together_1,1,Mean event duration (s),Attack,0.133
Together_1,1,Median event duration (s),Attack,0.133
Together_1,1,First occurance (s),Sniffing,
Together_1,1,Event count,Sniffing,0.0
Together_1,1,Total event duration (s),Sniffing,0.0
Together_1,1,Mean event duration (s),Sniffing,
Together_1,1,Median event duration (s),Sniffing,
Together_1,2,First occurance (s),Attack,29.983
Together_1,2,Event count,Attack,1.0
Together_1,2,Total event duration (s),Attack,14.975
Together_1,2,Mean event duration (s),Attack,14.975
Together_1,2,Median event duration (s),Attack,14.975
Together_1,2,First occurance (s),Sniffing,
Together_1,2,Event count,Sniffing,0.0
Together_1,2,Total event duration (s),Sniffing,0.0
Together_1,2,Mean event duration (s),Sniffing,
Together_1,2,Median event duration (s),Sniffing,
Together_1,3,First occurance (s),Attack,44.958
Together_1,3,Event count,Attack,2.0
Together_1,3,Total event duration (s),Attack,7.321
Together_1,3,Mean event duration (s),Attack,3.661
Together_1,3,Median event duration (s),Attack,3.661
Together_1,3,Mean event interval (s),Attack,4.925
Together_1,3,Median event interval (s),Attack,4.925
Together_1,3,First occurance (s),Sniffing,
Together_1,3,Event count,Sniffing,0.0
Together_1,3,Total event duration (s),Sniffing,0.0
Together_1,3,Mean event duration (s),Sniffing,
Together_1,3,Median event duration (s),Sniffing,
Together_1,3,Mean event interval (s),Sniffing,
Together_1,3,Median event interval (s),Sniffing,
Together_2,0,First occurance (s),Attack,0.033
Together_2,0,Event count,Attack,2.0
Together_2,0,Total event duration (s),Attack,0.932
Together_2,0,Mean event duration (s),Attack,0.466
Together_2,0,Median event duration (s),Attack,0.466
Together_2,0,Mean event interval (s),Attack,7.421
Together_2,0,Median event interval (s),Attack,7.421
Together_2,0,First occurance (s),Sniffing,0.399
Together_2,0,Event count,Sniffing,1.0
Together_2,0,Total event duration (s),Sniffing,0.366
Together_2,0,Mean event duration (s),Sniffing,0.366
Together_2,0,Median event duration (s),Sniffing,0.366
Together_2,0,Mean event interval (s),Sniffing,
Together_2,0,Median event interval (s),Sniffing,
Together_2,1,First occurance (s),Attack,29.85
Together_2,1,Event count,Attack,1.0
Together_2,1,Total event duration (s),Attack,0.133
Together_2,1,Mean event duration (s),Attack,0.133
Together_2,1,Median event duration (s),Attack,0.133
Together_2,1,First occurance (s),Sniffing,
Together_2,1,Event count,Sniffing,0.0
Together_2,1,Total event duration (s),Sniffing,0.0
Together_2,1,Mean event duration (s),Sniffing,
Together_2,1,Median event duration (s),Sniffing,
Together_2,2,First occurance (s),Attack,29.983
Together_2,2,Event count,Attack,1.0
Together_2,2,Total event duration (s),Attack,14.975
Together_2,2,Mean event duration (s),Attack,14.975
Together_2,2,Median event duration (s),Attack,14.975
Together_2,2,First occurance (s),Sniffing,
Together_2,2,Event count,Sniffing,0.0
Together_2,2,Total event duration (s),Sniffing,0.0
Together_2,2,Mean event duration (s),Sniffing,
Together_2,2,Median event duration (s),Sniffing,
Together_2,3,First occurance (s),Attack,44.958
Together_2,3,Event count,Attack,2.0
Together_2,3,Total event duration (s),Attack,7.321
Together_2,3,Mean event duration (s),Attack,3.661
Together_2,3,Median event duration (s),Attack,3.661
Together_2,3,Mean event interval (s),Attack,4.925
Together_2,3,Median event interval (s),Attack,4.925
Together_2,3,First occurance (s),Sniffing,
Together_2,3,Event count,Sniffing,0.0
Together_2,3,Total event duration (s),Sniffing,0.0
Together_2,3,Mean event duration (s),Sniffing,
Together_2,3,Median event duration (s),Sniffing,
Together_2,3,Mean event interval (s),Sniffing,
Together_2,3,Median event interval (s),Sniffing,
