,Distance (mm) Tail_base_1-Center_1,Distance (mm) Tail_base_1-Lat_left_1,Distance (mm) Tail_base_1-Lat_right_2,Distance (mm) Tail_base_1-Nose_2,Distance (mm) Tail_base_1-Lat_left_2,Distance (mm) Tail_base_1-Ear_left_2,Distance (mm) Tail_base_1-Ear_right_1,Distance (mm) Tail_base_1-Lat_right_1,Distance (mm) Tail_base_1-Tail_base_2,Distance (mm) Tail_base_1-Ear_right_2,Distance (mm) Tail_base_1-Ear_left_1,Distance (mm) Tail_base_1-Center_2,Distance (mm) Tail_base_1-Nose_1,Distance (mm) Center_1-Lat_left_1,Distance (mm) Center_1-Lat_right_2,Distance (mm) Center_1-Nose_2,Distance (mm) Center_1-Lat_left_2,Distance (mm) Center_1-Ear_left_2,Distance (mm) Center_1-Ear_right_1,Distance (mm) Center_1-Lat_right_1,Distance (mm) Center_1-Tail_base_2,Distance (mm) Center_1-Ear_right_2,Distance (mm) Center_1-Ear_left_1,Distance (mm) Center_1-Center_2,Distance (mm) Center_1-Nose_1,Distance (mm) Lat_left_1-Lat_right_2,Distance (mm) Lat_left_1-Nose_2,Distance (mm) Lat_left_1-Lat_left_2,Distance (mm) Lat_left_1-Ear_left_2,Distance (mm) Lat_left_1-Ear_right_1,Distance (mm) Lat_left_1-Lat_right_1,Distance (mm) Lat_left_1-Tail_base_2,Distance (mm) Lat_left_1-Ear_right_2,Distance (mm) Lat_left_1-Ear_left_1,Distance (mm) Lat_left_1-Center_2,Distance (mm) Lat_left_1-Nose_1,Distance (mm) Lat_right_2-Nose_2,Distance (mm) Lat_right_2-Lat_left_2,Distance (mm) Lat_right_2-Ear_left_2,Distance (mm) Lat_right_2-Ear_right_1,Distance (mm) Lat_right_2-Lat_right_1,Distance (mm) Lat_right_2-Tail_base_2,Distance (mm) Lat_right_2-Ear_right_2,Distance (mm) Lat_right_2-Ear_left_1,Distance (mm) Lat_right_2-Center_2,Distance (mm) Lat_right_2-Nose_1,Distance (mm) Nose_2-Lat_left_2,Distance (mm) Nose_2-Ear_left_2,Distance (mm) Nose_2-Ear_right_1,Distance (mm) Nose_2-Lat_right_1,Distance (mm) Nose_2-Tail_base_2,Distance (mm) Nose_2-Ear_right_2,Distance (mm) Nose_2-Ear_left_1,Distance (mm) Nose_2-Center_2,Distance (mm) Nose_2-Nose_1,Distance (mm) Lat_left_2-Ear_left_2,Distance (mm) Lat_left_2-Ear_right_1,Distance (mm) Lat_left_2-Lat_right_1,Distance (mm) Lat_left_2-Tail_base_2,Distance (mm) Lat_left_2-Ear_right_2,Distance (mm) Lat_left_2-Ear_left_1,Distance (mm) Lat_left_2-Center_2,Distance (mm) Lat_left_2-Nose_1,Distance (mm) Ear_left_2-Ear_right_1,Distance (mm) Ear_left_2-Lat_right_1,Distance (mm) Ear_left_2-Tail_base_2,Distance (mm) Ear_left_2-Ear_right_2,Distance (mm) Ear_left_2-Ear_left_1,Distance (mm) Ear_left_2-Center_2,Distance (mm) Ear_left_2-Nose_1,Distance (mm) Ear_right_1-Lat_right_1,Distance (mm) Ear_right_1-Tail_base_2,Distance (mm) Ear_right_1-Ear_right_2,Distance (mm) Ear_right_1-Ear_left_1,Distance (mm) Ear_right_1-Center_2,Distance (mm) Ear_right_1-Nose_1,Distance (mm) Lat_right_1-Tail_base_2,Distance (mm) Lat_right_1-Ear_right_2,Distance (mm) Lat_right_1-Ear_left_1,Distance (mm) Lat_right_1-Center_2,Distance (mm) Lat_right_1-Nose_1,Distance (mm) Tail_base_2-Ear_right_2,Distance (mm) Tail_base_2-Ear_left_1,Distance (mm) Tail_base_2-Center_2,Distance (mm) Tail_base_2-Nose_1,Distance (mm) Ear_right_2-Ear_left_1,Distance (mm) Ear_right_2-Center_2,Distance (mm) Ear_right_2-Nose_1,Distance (mm) Ear_left_1-Center_2,Distance (mm) Ear_left_1-Nose_1,Distance (mm) Center_2-Nose_1
0,488.23,507.8,374.1,382.39,418.68,400.25,517.88,466.39,407.63,418.31,526.35,394.81,490.75,20.07,220.33,246.52,199.65,286,43.83,24.18,147.05,244.91,79.89,210.41,50.39,237.27,262.74,214.31,301.22,38.85,44.02,163.7,259.3,78.45,226.4,58.34,30.09,45.91,74.7,219.95,198.14,73.63,54.53,203.66,21.2,186.67,55.27,44.63,242.89,224.99,99.58,35.96,223.21,36.5,210,87.3,191.15,179.94,58.98,45.37,168.98,24.73,159.04,278.39,265.39,140.52,44.84,254.78,76.78,246.34,55.56,147.11,234.91,39.75,206.42,33.41,125.43,225.31,83.33,189.21,45.81,103.04,134.8,63.9,113.71,210.25,44.36,203.37,187.5,39.97,173.51
1,489.97,509.14,373.39,385.71,419.7,404.14,518.22,466.62,411.22,417.76,526.34,395.07,490.77,20.9,216.35,240.44,194.41,276.11,37.5,23.62,139.76,234.36,71.81,202.89,42.89,235.87,259.28,212.11,294.12,34.91,44.13,159,251.89,73.77,221.72,55.2,30.77,47.52,72.51,220.56,198.1,77.03,51.98,204.5,22.87,187.07,53.04,41.76,241.22,223.5,100.9,32.13,221.35,37.56,208.23,82.16,191.32,179.86,60.57,40.02,169.22,24.84,159.11,273.35,260.58,138.4,43.55,249.7,75.63,241.27,55.47,143.96,230.23,39,204.04,33.63,122.64,219.86,82.35,186.14,45.24,99.44,131.33,63.5,110.36,206.16,42.15,198.47,185.52,39.66,170.91
2,489.93,509.6,376.21,386.44,423.22,407.41,518.22,466.16,412.62,417.76,525.82,396.79,490.86,20.71,208.07,237.77,195.69,270.22,37.88,24.16,136.6,234.78,71.38,198.91,43.5,226.67,255.54,211.93,286.9,33.49,44.75,154.88,251.06,71.49,216.65,54.18,35.21,47.02,75.39,212.09,189.02,71.91,54.84,196.4,20.78,178.58,51.81,40.43,238.18,220.03,101.39,31.33,218.48,38.89,205.18,75.24,191.45,180.68,65.85,39.13,168.83,26.52,159.44,266.66,254.09,136.03,36.64,243,74.21,234.66,55.8,140.61,230.23,38.15,199.65,33.61,118.67,219.45,81.62,181.4,45.39,102.77,128.25,62.73,107.02,206.37,44.95,198.44,181.28,38.76,166.51
3,489.7,509.55,377.58,386.44,428.11,402.87,519.1,468.82,414.57,417.76,525.5,400.78,491.09,21.02,203.14,237.25,184.27,261.67,37.89,20.9,133.17,234.25,70.67,194.6,43.44,222.17,255.44,200.74,278.99,32.88,41.45,151.83,250.95,71.09,212.61,54.41,39.03,50.88,69.66,208.99,188.49,70.52,56.89,192.18,23.23,174.16,62.47,31.15,239.39,223.89,104.25,31.33,218.39,42.92,205.02,79.4,181.3,173.9,59.24,50.27,157.39,27.75,147.96,260.6,249.57,130.15,30.59,236.43,68.22,226.97,55.05,138.82,231.43,38.54,196.56,34.87,119.72,223.2,81.56,181.75,47.13,105.21,125.2,62.08,103.95,206.33,46.09,198.23,176.52,37.97,162.13
4,489.57,509.37,377.65,386.44,428.36,415.55,519.55,468.42,415.32,417.76,526.08,400.73,491.58,20.75,203.29,238.06,182.95,252.36,38.95,21.23,131.92,235.17,72.29,192.66,45.03,221.8,255.69,198.81,268.53,33.35,41.73,150.04,251.27,72.02,210.14,55.06,39.61,51.26,68.52,208.94,187.77,71.93,57.3,192.05,23.34,173.72,64.24,33.84,239.88,223.81,106.29,31.33,218.67,45.58,205.05,69.78,179.58,171.65,58.92,52.5,155.58,27.92,145.68,249.13,240.21,123.79,17.28,223.49,64.15,215.43,55.81,137.42,231.89,39.07,194.49,35.24,117.6,223.18,82.54,178.84,48.06,107.18,124.01,61.26,102.18,206.54,48.85,198.16,174.56,37.99,159.57
5,489.71,509.35,377.73,386.44,429.11,419.13,519.55,467.85,413.22,417.76,527.87,399.53,492.35,19.92,205.94,240.78,189.11,252.26,41.16,22.47,133.49,238.12,76.78,194.98,48.58,222.27,256.1,202.32,265.73,33.89,42.37,149.57,251.71,73.74,210.21,55.46,39.44,51.58,68.27,209.02,187.53,72.72,57.13,193.29,22.23,174.33,62.46,35.72,239.88,223.48,107.61,31.33,219.63,45.89,205.49,63.44,182.4,174.67,64.87,49.55,158.85,29.58,148.95,245.55,237.14,123.44,14.24,220.23,63.52,212.32,56.33,137.24,231.89,40.09,194.35,34.7,115.87,222.92,84.68,178,48.81,109.25,126.13,62.24,102.61,207.26,49.96,198.5,175.75,39.15,159.86
6,490.14,509.47,378.06,386.44,430.43,411.57,519.55,467.99,411.17,417.76,529.57,399.39,493.19,20.78,203.15,238.08,186.92,248.45,38.23,22.17,130.85,235.09,74.83,192.22,44.63,222.3,256.48,203.56,265.73,34.27,42.32,150.01,252.12,75.47,210.57,55.47,39.62,52.48,62.83,208.66,187.69,72.31,57.09,193.91,21.75,174.74,62.67,28.46,239.88,223.96,108.03,31.33,220.4,45.91,206.22,63,183.01,176.25,67.98,48.89,159.76,31.06,150.29,245.97,236.31,122.16,14.47,222.21,60.24,213.08,56.4,137.84,231.89,41.35,194.36,33.92,115.96,223.42,86.78,178.45,49.45,110.33,128.68,62.82,104.07,207.8,50.07,199.14,176.68,40.39,160.6
7,489.21,509.6,378.54,386.44,430.98,398.23,519.55,468.35,411.79,417.76,529.85,401,493.84,20.9,203.36,239.96,186.99,255.57,41.06,21.17,133,237.31,78.52,192.86,47.44,221.09,256.71,201.52,271.6,34.41,42.06,150.61,252.35,76.05,209.45,55.07,40.88,52.58,60.99,207.25,186.78,70.49,57.81,192.64,22.76,174.14,64.56,20.87,239.88,224.49,107.45,31.33,220.39,47.29,207.01,73.31,180.75,174.54,65.14,51.15,157.54,29.98,148.78,252.98,240.93,124.33,25.97,230.85,63.23,220.48,56.25,137.99,231.89,41.76,192.84,33.11,117.05,223.93,87.28,177.81,49.58,109.52,128.64,61.11,105,207.72,50.43,199.9,175,40.43,159.89
8,488.73,509.66,379.01,386.92,431.88,389.92,519.55,468.54,412.9,417.76,529.04,402.87,494.1,21,202.28,231.56,196.79,257.66,43.33,21.2,134.97,239.38,79.32,194.72,49.57,218.4,246.58,208.97,272.21,34.31,41.94,150.73,252.31,74.11,209.29,54.3,33.67,53.24,60.37,204.71,184.06,67.7,59.65,190.52,23.86,172.22,53.28,27.01,230.09,214.22,96.78,32.91,211.68,37.68,197.84,70.8,187.84,182.25,71.66,44.15,164.48,29.82,156.73,254.54,240.65,123.23,32.3,234.12,62.96,222.51,56.02,137.81,231.89,39.93,192.42,32.49,117.45,223.9,85.34,177.94,48.97,108.75,127.91,60.85,105.39,208.41,49.46,200.6,174.54,39.05,160.17
9,67,76.57,234.72,271.44,250.61,300.13,108.81,68.85,175.28,283.78,144.32,236.58,114.44,20.79,200.34,234.12,203.47,261.7,43.4,21.51,135.24,239.66,77.4,195.83,49.17,216.08,248.75,215.18,275.79,34.1,41.91,150.49,252.11,71.65,209.86,53.47,37.53,54.18,66.23,202.75,181.47,65.69,61.7,189.67,24.87,170.66,52.06,28.79,232.59,216.07,98.96,34.02,215.37,39.64,200.77,68.89,194.19,188.2,77,37.92,171.9,29.94,163.66,258.3,244.03,126.89,34.96,239.02,65.95,226.76,55.77,137.61,231.89,37.67,193.02,32.09,117.16,223.52,83.18,178.47,48,108.52,128.01,61.66,105.54,209.78,48.31,201.12,175.96,38.04,161.26
