,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Center_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Nose_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_left_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Lat_left_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Center_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Nose_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Ear_right_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_left_1-Lat_right_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_left_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Center_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Nose_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_1 four-point convex hull (area mm) Center_1-Lat_left_1-Lat_right_1-Tail_base_1,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Center_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Nose_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_left_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Lat_left_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Center_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Nose_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Ear_right_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_left_2-Lat_right_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_left_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Center_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Nose_2-Lat_left_2-Lat_right_2-Tail_base_2,Animal_2 four-point convex hull (area mm) Center_2-Lat_left_2-Lat_right_2-Tail_base_2
0,174.19,177.23,181.41,1083.65,178.73,191.14,1097.83,206.14,1112.54,1087.79,189.27,190.05,1094.15,208.59,1112.41,1075.92,206.22,1112.41,1094.15,1112.41,143.24,147.57,1055.93,162.56,1070.64,1045.89,138.87,1064.34,1049.63,1064.34,148.86,1056.71,1028.93,1056.71,1017.99,169.86,190.48,174.21,292.06,191.93,184.98,288.53,211.38,289.82,296.2,193.54,172.77,284.8,208.62,290.73,288.96,208.61,287.2,288.95,294.87,142.85,131.52,238.59,157.93,240.03,242.75,146.25,212.68,231.07,232.52,132.3,214.4,204.55,218.57,178.67
1,159.46,169.28,179.76,301.68,167.16,182.76,293.18,200.84,295.24,301.82,177.84,180.78,299.32,203.35,303.75,302.09,200.72,295.25,299.47,303.89,132.71,140.13,256.43,158.21,258.61,259.19,134.6,221.81,235.58,237.77,145.02,245.42,233.46,248.18,191.86,164.72,178.43,168.19,285.39,184.17,180.96,281.87,203.91,282.29,292.39,186.47,170.81,280.82,202.55,285.22,287.82,202.72,281.7,287.82,292.22,134.63,127.77,232.18,150.72,233.38,239.2,140.12,206.22,228.42,229.62,131.81,214.3,208.57,221.31,185.32
2,159.38,165.38,179.05,1082.74,164.32,182.41,1091.9,198.36,1106.91,1086.28,175.24,180.06,1086.87,200.83,1106.71,1073.42,198.15,1106.71,1086.87,1106.71,132.22,141.86,1052.36,157.81,1067.37,1046.74,133.99,1060.85,1045.85,1060.85,144.55,1054.11,1023.55,1054.11,1019.98,163.99,168,171.61,282.45,176.79,180.75,277.65,198.24,278.12,287.9,180.6,170.61,277.6,197.27,282.59,283.29,197.36,277.79,283.05,288.04,134.85,134.02,235.48,151.51,236.83,241.17,137.49,207.59,226.82,228.17,133.69,218.68,208.52,224.36,184.36
3,157.96,164.58,179.06,1082.6,163.69,179.25,1091.1,195.15,1106.27,1087.41,174.08,177.05,1085.39,198.35,1105.96,1075.43,194.84,1105.96,1085.39,1105.96,132.31,140.68,1052.67,156.58,1067.84,1048.99,129.57,1060.96,1045.79,1060.96,143.36,1054.62,1023.54,1054.62,1019.79,154.32,175.19,165.24,272.77,178.11,174.1,268.41,202.8,271.17,278.39,180.91,161.46,265,200.74,273.46,270.8,200.56,269.1,270.62,279.08,146.08,137.22,235.7,165.92,238.63,241.51,149.94,206.06,225.54,228.46,148,220.71,209.59,226.52,180.69
4,160.88,165.69,180.99,1083.83,165.02,181.75,1093.01,196.6,1107.19,1088.7,175.63,179.79,1087.44,199.82,1106.79,1076.6,196.2,1106.79,1087.44,1106.79,134.25,143.59,1054.73,158.44,1068.9,1050.41,131.13,1061.88,1047.71,1061.88,144.58,1055.04,1025.47,1055.04,1018.98,142.69,158.38,153.78,260.26,161.76,162.65,252.17,189.87,253.3,267.34,169.63,157.61,257.83,191,262.72,266.32,189.59,254.63,264.91,269.8,141.98,136.13,232.33,163.35,235.07,240.82,146.47,202.87,223.94,226.68,151.01,222.73,217.15,231.22,182.95
5,169.18,168.79,184.85,1087.17,170.57,188.48,1098.37,201.04,1110.65,1091.85,181.45,187.3,1093.74,204.18,1110.35,1080.02,200.75,1110.35,1093.74,1110.35,137.73,147.92,1057.86,160.47,1070.14,1051.34,133.02,1062.63,1050.35,1062.63,146.96,1056.61,1030.04,1056.61,1018.86,143.12,146.86,154.51,260.01,156.62,161.9,251.77,183.38,251.86,267.04,164.53,156.36,257.25,185.12,262.05,266.35,183.31,253.81,264.27,269.08,141.74,140.85,236.9,162.33,239.26,246,142.62,204.91,226.03,228.4,152.61,229.28,224.15,238.38,188.94
6,165.07,171.2,187.76,1090.46,171.12,188.51,1099.11,204.24,1114.04,1095.25,181.11,186.36,1093.83,207.12,1113.78,1083.68,203.98,1113.78,1093.83,1113.78,134.74,145.01,1056.41,160.75,1071.34,1052.54,133.81,1063.96,1049.03,1063.96,147.08,1057.67,1027.39,1057.67,1020.08,138.3,142.42,147.94,257.85,156.41,157.78,253.11,180.28,255.42,265.15,158.6,145.48,249.85,178.39,258.49,257.81,178.09,253.75,257.15,265.79,144.62,141.91,241.31,164.41,244.51,249.28,150.88,217.79,235.39,238.58,149.85,229.59,220.26,237.55,192.37
7,170.96,171.06,187.75,1090.55,175.57,191.1,1101.3,204.86,1114.63,1095.64,184.52,189.07,1096.62,207.31,1114.42,1084.5,204.65,1114.42,1096.62,1114.42,136.37,145.4,1057.49,159.16,1070.82,1051.83,133.28,1063.84,1050.5,1063.84,145.84,1057.5,1029.54,1057.5,1019.46,143.31,158.01,150.05,261.91,170.81,163.11,261.23,191.42,266.66,268.59,167.5,146.98,249.04,187.16,263.08,255.72,187.3,262.41,255.72,269.76,143.12,135.03,233.27,163.35,238.7,240.51,156.45,219.78,233.48,238.92,143.12,218.34,205.34,225.58,188.19
8,171.87,167.22,184.2,302.87,174.31,189.71,295.26,201.22,296.97,302.34,183.35,188.07,300.19,203.7,304.38,302.41,201.2,296.78,299.67,303.86,138.74,147.58,258,159.09,259.77,260.21,134.32,223.27,235.21,236.98,145.6,246.04,234.13,248.26,186.71,142.85,155.37,146.81,262.06,167.72,162.22,261.47,188.45,270.25,266.22,165.41,147.29,248,184.31,266.71,251.55,184.78,266.11,252.16,270.87,144.25,137.18,236.75,163.41,245.54,241.18,158.29,229.01,235.59,244.38,140.67,222.33,200.21,226.76,192.98
9,168.07,163.39,179.34,299.21,169.83,185.71,291.1,196.97,292.85,298.77,179.5,184.75,296.88,199.65,300.85,299.31,197.14,292.74,296.44,300.41,137.45,146.35,256.97,157.6,258.8,259.4,134.38,223.44,235.82,237.65,144.24,245.08,233.61,247.51,187.76,143.5,150.5,152.48,264.28,165.4,166.29,263.41,190.09,273.44,268.5,166.67,156.37,254.85,188.88,273.1,258.39,189.46,272.23,259.07,277.32,137.48,135.98,233.88,159.79,243.91,238.2,152.99,226.01,230.82,240.85,144.03,227.57,204.08,231.89,196.8
10,167.09,162.9,178.65,299.29,168.31,184.36,290.57,195.66,292.07,298.59,178.58,184.13,297.48,198.68,300.85,299.9,195.84,292.13,296.78,300.15,135.44,144.24,256.04,155.53,257.71,258.46,133.13,223.41,235.77,237.44,141.66,243.55,232.35,245.97,187.54,144.06,150.93,154.27,264.79,165.43,166.79,264.18,189.76,273.02,268.95,165.64,154.43,253.24,187.9,271.77,256.62,188.36,271.16,257.4,275.93,136.11,135.59,233.41,158.56,242.25,237.75,150.34,222,229.07,237.92,143.24,226.46,203.59,230.81,195.53
