,Angle (degrees) Ear_left_1-Ear_right_1-Nose_1,Angle (degrees) Ear_left_1-Ear_right_1-Center_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_left_1,Angle (degrees) Ear_left_1-Ear_right_1-Lat_right_1,Angle (degrees) Ear_left_1-Ear_right_1-Tail_base_1,Angle (degrees) Ear_left_1-Nose_1-Center_1,Angle (degrees) Ear_left_1-Nose_1-Lat_left_1,Angle (degrees) Ear_left_1-Nose_1-Lat_right_1,Angle (degrees) Ear_left_1-Nose_1-Tail_base_1,Angle (degrees) Ear_left_1-Center_1-Lat_left_1,Angle (degrees) Ear_left_1-Center_1-Lat_right_1,Angle (degrees) Ear_left_1-Center_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_left_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_right_1-Nose_1-Center_1,Angle (degrees) Ear_right_1-Nose_1-Lat_left_1,Angle (degrees) Ear_right_1-Nose_1-Lat_right_1,Angle (degrees) Ear_right_1-Nose_1-Tail_base_1,Angle (degrees) Ear_right_1-Center_1-Lat_left_1,Angle (degrees) Ear_right_1-Center_1-Lat_right_1,Angle (degrees) Ear_right_1-Center_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_left_1-Lat_right_1,Angle (degrees) Ear_right_1-Lat_left_1-Tail_base_1,Angle (degrees) Ear_right_1-Lat_right_1-Tail_base_1,Angle (degrees) Nose_1-Center_1-Lat_left_1,Angle (degrees) Nose_1-Center_1-Lat_right_1,Angle (degrees) Nose_1-Center_1-Tail_base_1,Angle (degrees) Nose_1-Lat_left_1-Lat_right_1,Angle (degrees) Nose_1-Lat_left_1-Tail_base_1,Angle (degrees) Nose_1-Lat_right_1-Tail_base_1,Angle (degrees) Center_1-Lat_left_1-Lat_right_1,Angle (degrees) Center_1-Lat_left_1-Tail_base_1,Angle (degrees) Center_1-Lat_right_1-Tail_base_1,Angle (degrees) Lat_left_1-Lat_right_1-Tail_base_1,Angle (degrees) Ear_left_2-Ear_right_2-Nose_2,Angle (degrees) Ear_left_2-Ear_right_2-Center_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_left_2,Angle (degrees) Ear_left_2-Ear_right_2-Lat_right_2,Angle (degrees) Ear_left_2-Ear_right_2-Tail_base_2,Angle (degrees) Ear_left_2-Nose_2-Center_2,Angle (degrees) Ear_left_2-Nose_2-Lat_left_2,Angle (degrees) Ear_left_2-Nose_2-Lat_right_2,Angle (degrees) Ear_left_2-Nose_2-Tail_base_2,Angle (degrees) Ear_left_2-Center_2-Lat_left_2,Angle (degrees) Ear_left_2-Center_2-Lat_right_2,Angle (degrees) Ear_left_2-Center_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_left_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_left_2-Lat_right_2-Tail_base_2,Angle (degrees) Ear_right_2-Nose_2-Center_2,Angle (degrees) Ear_right_2-Nose_2-Lat_left_2,Angle (degrees) Ear_right_2-Nose_2-Lat_right_2,Angle (degrees) Ear_right_2-Nose_2-Tail_base_2,Angle (degrees) Ear_right_2-Center_2-Lat_left_2,Angle (degrees) Ear_right_2-Center_2-Lat_right_2,Angle (degrees) Ear_right_2-Center_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_left_2-Lat_right_2,Angle (degrees) Ear_right_2-Lat_left_2-Tail_base_2,Angle (degrees) Ear_right_2-Lat_right_2-Tail_base_2,Angle (degrees) Nose_2-Center_2-Lat_left_2,Angle (degrees) Nose_2-Center_2-Lat_right_2,Angle (degrees) Nose_2-Center_2-Tail_base_2,Angle (degrees) Nose_2-Lat_left_2-Lat_right_2,Angle (degrees) Nose_2-Lat_left_2-Tail_base_2,Angle (degrees) Nose_2-Lat_right_2-Tail_base_2,Angle (degrees) Center_2-Lat_left_2-Lat_right_2,Angle (degrees) Center_2-Lat_left_2-Tail_base_2,Angle (degrees) Center_2-Lat_right_2-Tail_base_2,Angle (degrees) Lat_left_2-Lat_right_2-Tail_base_2
0,65.57,145.78,173.03,121.04,100.16,236.12,255.69,207.5,151.92,281.34,89.67,114.45,80.43,99.41,132.56,301,320.57,272.38,216.8,297.59,105.92,130.7,83.96,102.93,156.69,256.79,65.13,89.91,50.85,69.83,119.77,353.62,12.6,206.02,200.74,65.99,118.8,150.77,97,140.38,217.89,238.54,182.39,208.12,252.95,76.43,185.58,58.84,147.1,217.38,284.5,305.16,249.01,274.74,283.73,107.21,216.36,73.37,161.63,253.94,232.04,55.52,164.67,32.99,121.25,215.95,1.61,89.87,304.94,306.81
1,65.71,139.67,172.99,120.31,99.93,239.17,259.17,208.22,152.75,272.89,108.33,116.87,84.64,99.48,133.11,302.85,322.85,271.9,216.43,293.47,128.91,137.45,88.35,103.18,157.24,244.58,80.02,88.56,52.77,67.61,119.95,8.2,23.03,188.98,196.22,64.95,123.88,158.96,98.39,148.3,215.17,240.32,177.71,210.92,263.68,73.47,191.79,61.3,151.36,224.54,286.03,311.18,248.57,281.78,292.24,102.03,220.34,72.27,162.33,260.98,245.13,54.93,173.24,35.09,125.15,225.86,355.11,85.17,313.47,308.15
2,65.03,139.72,172.74,119.43,99.44,239.72,260.78,208.27,153.48,278.01,106.56,116.64,85.94,99.23,133.64,302.87,323.93,271.42,216.63,298.23,126.77,136.85,89.81,103.09,157.67,250.05,78.59,88.67,53.59,66.87,120.65,4.6,17.88,190.6,194.54,72.53,130.6,166.54,109.39,151.23,221.39,251.3,189.31,216.52,278.01,85.26,193.23,71.98,149.15,225.13,281.2,311.11,249.12,276.33,300.03,107.28,215.25,78.49,155.66,252.42,256.9,64.15,172.12,41.39,118.55,220.16,354.4,71.57,303.93,296.77
3,62.06,135.24,168.85,120.23,97.47,239.67,260.92,213.4,154.05,277.41,114.4,116.93,88.83,99.09,130.54,303.39,324.64,277.12,217.77,299.99,136.98,139.51,94.85,105.11,154.63,249.78,86.77,89.3,57,67.26,115.69,8.47,18.73,182.64,191.17,60.39,124.45,157.56,101.28,140.05,226.46,248.39,193.96,218.23,256.55,83.83,185.42,59.99,139.23,223.62,285.08,307.01,252.58,276.85,278.25,105.53,207.12,68.45,147.69,249.12,237.22,64.5,166.09,38.6,117.85,217.43,3.32,82.56,300.42,304.39
4,61.24,135.79,167.98,119.88,97.5,239.16,260.19,213.05,154.34,278.98,111.75,116.75,88.9,99.5,130.8,303.51,324.54,277.4,218.69,301.12,133.89,138.89,95.39,105.99,155.03,252.16,84.92,89.93,57.59,68.18,116.26,6.45,17.05,185.23,191.54,82.85,147.92,179.63,124.19,162.81,253.19,275.32,222.39,246.4,270.42,90.66,198.49,66.94,148.14,236.4,283.62,305.75,252.82,276.83,278.64,98.88,206.71,67.03,148.23,248.44,240.09,60.33,168.16,38.07,119.26,216.95,0.11,81.3,305.83,305.96
5,62.64,141.79,170.53,121.96,99.83,238.26,259,211.58,154.19,286.22,102.92,115.97,89.44,100.56,131.58,303.69,324.44,277.01,219.62,305.07,121.76,134.82,94.57,105.69,155.27,260.52,77.21,90.27,58.02,69.15,117.57,358.25,9.37,193.68,192.13,95.92,159.93,194.51,137.21,174.65,258.51,284.97,229.55,251.96,283.63,92.66,202.07,71.98,148.32,237.82,281.87,308.33,252.91,275.32,288.04,97.07,206.48,68.76,145.1,245.96,250.19,59.22,168.63,39.03,115.36,214.35,355.29,71.63,306.17,299.9
6,64.02,140.18,172.91,124.47,101.83,236.75,257.27,210.12,153.26,276.19,115.74,118.16,90.4,101.4,131.57,303.71,324.24,277.09,220.23,296.91,136.46,138.88,94.27,105.27,154.7,249.36,88.9,91.32,58.93,69.93,118.07,10.09,21.09,182.53,191.99,65.15,129.04,165.6,106.84,142.76,254.21,282.43,225.96,246.59,279.6,86.63,193.86,65.18,137.67,230.77,281.68,309.9,253.43,274.06,290.35,97.38,204.61,68.45,140.95,243.5,252.56,59.59,166.82,39,111.5,211.77,354.66,67.16,303.93,296.29
7,64.15,142.88,173.44,125.22,102.06,233.54,255.49,208.46,151.89,284.43,107.57,117.31,90.58,101.35,131.12,301.92,323.86,276.83,220.26,303.16,126.3,136.03,94.18,104.95,154.13,259.97,83.11,92.84,59.6,70.38,118.37,1.58,12.35,190.17,191.73,41.4,107.34,141.66,84.34,119.37,227.77,253.39,199.01,219.15,262.77,73.95,178.87,55.02,127.7,218.05,283.16,308.78,254.4,274.54,285.85,97.03,201.95,67.72,140.39,243.12,248.62,59.8,164.72,39.2,111.87,211.66,356.2,68.87,303.1,298.08
8,64.31,144.58,173.06,124.74,101.62,233.37,256.12,208.54,152.46,291.86,99.28,116.61,90.29,101.17,131.57,300.51,323.25,275.68,219.59,308.83,116.24,133.58,94.03,104.9,154.19,268.59,76,93.34,59.52,70.4,118.94,353.68,4.55,198.11,191.84,48.93,98.54,135.13,75.62,109.26,206.94,239.88,168.38,193.16,267.56,72.79,168.95,56.12,119.77,211.64,271.3,304.24,232.73,257.52,298.04,103.28,199.43,74.89,138.55,242.86,256.35,61.59,157.74,36.85,100.5,216.82,353.44,57.09,296.67,288.46
9,65.52,145.26,173.23,124.66,157.38,235.38,258.26,209.84,223.82,293.6,98.06,183.84,90.28,153.62,216.83,299.7,322.58,274.16,288.14,309.7,114.17,199.94,93.83,157.17,238.7,269.74,74.2,159.98,58.96,122.3,203.67,352.1,55.44,283.93,276.29,49.31,103.56,141.86,81.43,114.13,211.36,246.26,173.89,195.9,277.27,79.79,167.8,63.81,120.76,211.72,278.41,313.31,240.94,262.95,308.29,110.82,198.83,82.07,139.02,243.19,264.13,66.66,154.67,41.31,98.27,214.38,352.08,49.03,290.24,280.69
