,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Nose_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Ear_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Nose_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_left_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Center_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Nose_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Ear_right_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Lat_left_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Nose_1-Center_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Nose_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_left_1-Lat_right_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_left_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Center_1-Lat_right_1-Tail_base_1,Animal_1 three-point convex hull (area mm) Lat_left_1-Lat_right_1-Tail_base_1,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Nose_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Ear_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Nose_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_left_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Center_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Nose_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Ear_right_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Lat_left_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Nose_2-Center_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Nose_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_left_2-Lat_right_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_left_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Center_2-Lat_right_2-Tail_base_2,Animal_2 three-point convex hull (area mm) Lat_left_2-Lat_right_2-Tail_base_2
0,113.36,163.51,157.02,178.83,1083.65,170.51,177.1,169.54,1056.75,178.59,187.46,1094.15,206.01,1112.41,1075.92,128.03,131.07,135.25,1041.75,103.05,123.65,1049.63,138.65,1064.34,1039.59,129.32,120.57,1028.93,148.64,1056.71,1002.61,88.38,1015.93,978.26,1017.99,125.02,165.47,177.84,174.19,288.38,157.63,187.7,149.81,284.8,189.15,172.75,281.28,208.61,287.04,288.95,116.39,137.01,120.74,238.59,114.63,119.85,211.23,146.25,207.55,231.07,117.22,88.2,200.39,132.3,214.4,203.69,92.4,148.04,158.81,178.62
1,112.45,148.66,148.06,177.14,293.06,154.87,169.16,167.85,299.32,167.04,178.16,290.82,200.72,295.13,299.47,114.21,124.03,134.51,256.43,93.6,116.52,219.62,134.6,219.45,235.58,119.51,112.03,230.69,145.02,245.42,231.16,88.69,170.28,168.45,191.44,117.49,161.05,165.66,168.19,281.1,154.56,177.07,145.17,280.82,182.8,170.81,277.3,202.55,280.93,287.82,111.51,125.23,115,232.18,107.32,117,205.03,139.95,199.87,228.42,115.55,90.79,201.55,131.64,214.3,208.42,95.82,149.32,163.35,185.32
2,112.13,148.26,143.53,176.38,1082.74,154.35,165.18,166.19,1055.25,164.12,177.38,1086.87,198.15,1106.71,1073.42,116.16,122.16,135.83,1043.2,92.12,118.04,1045.85,133.99,1060.85,1040.22,118.96,113.05,1023.55,144.55,1054.11,1001.65,89.58,1019.57,979.36,1019.87,115.48,158.96,151.24,171.38,276.77,153.62,166.79,150.91,277.6,175.58,170.38,272.8,197.03,276.91,283.05,117.02,121.03,124.65,235.48,105.38,119.67,206.24,137.16,201.19,226.82,116.69,94.97,202.83,133.36,218.68,208.3,93.68,154.74,155.03,184.36
3,111.7,147.25,143.37,175.55,1082.6,152.26,164.27,167.07,1054,163.38,173.54,1085.39,194.84,1105.96,1075.43,115.88,122.51,136.98,1044.18,91.82,113.67,1045.79,129.57,1060.96,1042.11,119.09,111.55,1023.54,143.36,1054.62,1006.38,83.59,1019.77,978.9,1019.26,107.46,149.28,161.52,165.06,268.24,141.5,172.95,139.99,265,175.87,161.28,260.64,200.56,268.93,270.62,117.26,138.12,128.17,235.7,112.83,121.25,203.13,149.94,200.83,225.54,128.16,100.08,203.79,148,220.71,208.91,102.17,149.23,155.8,180.56
4,112.25,149.87,144.47,177.37,1083.83,155.3,165.29,168.89,1055.06,164.62,176.18,1087.44,196.2,1106.79,1076.6,119.1,123.91,139.21,1045.54,93.03,116.29,1047.71,131.13,1061.88,1043.4,120.39,114.33,1025.47,144.58,1055.04,1007.24,83.36,1018.92,979.08,1018.68,89.5,134.54,139.44,152.37,250.56,136.24,158.1,138.69,257.83,161.48,156.2,249.74,189.59,253.02,264.91,114.76,130.45,125.85,232.33,109.72,119.25,200.13,146.47,197.23,223.94,129.64,106.82,208.66,151.01,222.73,217.09,102.74,148.87,157.36,182.95
5,114.23,158,147.64,181.41,1087.17,164.55,168.49,173.02,1058.83,170.27,183.85,1093.74,200.74,1110.35,1080.02,125.17,124.78,140.84,1046.66,95.34,120.46,1050.35,133.01,1062.63,1043.83,124.21,120.09,1030.04,146.95,1056.61,1008.58,84.57,1018.31,979.34,1018.86,86.46,134.88,126.91,152.44,249.48,135.51,146.53,138.68,257.24,156.28,154.28,249,183.04,251.52,264.27,120,123.74,131.39,236.89,107.39,120.88,202.54,142.36,197.78,226.03,131.75,111.88,215.05,152.34,229.27,224.15,103.17,156.26,156.98,188.94
6,115.99,154.81,150.61,184.62,1090.46,159.78,170.94,176.19,1062.46,170.86,183.22,1093.83,203.98,1113.78,1083.68,118.43,124.56,141.12,1047.75,94.4,118.07,1049.03,133.81,1063.96,1045.17,121.07,115.99,1027.39,147.08,1057.67,1010.12,85.13,1020.05,979.62,1019.51,78.13,133.55,128.14,147.28,252.22,125.33,139.87,126.23,249.85,153.86,144.82,245.11,177.73,252.86,257.15,121.76,125.89,131.41,241.31,117.9,128.02,214.59,150.52,211.94,235.39,129.7,107.04,212.3,149.49,229.59,220.26,104.66,161.44,156.7,192.37
7,115.14,161.81,151.75,185.09,1090.55,166.28,170.85,176.61,1063.18,175.36,186.41,1096.62,204.65,1114.42,1084.5,122.6,122.69,139.39,1046.74,97.53,119.52,1050.5,133.28,1063.84,1044.85,123.05,117.45,1029.54,145.84,1057.5,1010.93,83.82,1019.11,977.83,1019.46,86.28,142.36,150.85,150.05,261.23,127.18,153.75,122.7,249.04,166.55,146.98,248.36,187.16,262.41,255.72,114.67,129.37,121.98,233.27,123.92,128,214.34,156.32,216.52,233.48,122.76,96.59,198.09,142.98,218.34,205.06,105.73,156.13,154.33,188.19
8,110.92,162.57,147.92,181.46,295.2,167.49,166.96,173.19,300.19,174.05,185.33,292.59,200.96,296.71,299.67,127,122.34,139.33,258,100.54,122.58,221.5,134.08,221.5,235.21,125.01,119.73,231.92,145.36,246.04,232.44,84.05,164.99,156.43,186.71,85.53,141.02,145.69,146.81,261.47,127.92,151.23,120.92,247.39,163.58,147.29,247.41,184.31,266.11,251.55,117.54,130.07,121.77,236.75,125.87,131.59,220.22,157.82,228.14,235.59,121.04,95.33,195.77,140.2,222.33,198.35,106.89,162.66,152.71,192.98
9,106.71,158.22,143.53,176.47,291.02,164.24,163.2,168.97,296.88,169.64,181.88,288.77,196.78,292.66,296.44,125.84,121.15,137.1,256.97,100.35,122.76,221.62,134.02,221.86,235.82,123.73,118.97,231.18,143.88,245.08,231.87,84.49,164.66,157.92,187.76,85.19,141.02,138.47,152.48,263.41,133.58,149.29,132.23,254.17,164.19,156.37,253.98,188.88,272.23,258.39,113.1,120.11,122.18,233.88,117.3,128.6,215.98,152.41,225.52,230.82,121.14,101.38,199.77,143.45,227.57,201.8,108.94,168.74,152.2,196.8
