VIDEO,ANIMAL 1,ANIMAL 2,ANIMAL 2 KEYPOINT,MEASUREMENT,VALUE
termites_test,Animal_1,Animal_2,None,INTERACTION BOUT COUNT,2.0
termites_test,Animal_1,Animal_3,None,INTERACTION BOUT COUNT,5.0
termites_test,Animal_1,Animal_3,Tail,INTERACTION BOUT COUNT,1.0
termites_test,Animal_1,Animal_4,None,INTERACTION BOUT COUNT,5.0
termites_test,Animal_1,Animal_4,Head,INTERACTION BOUT COUNT,1.0
termites_test,Animal_1,Animal_4,Tail,INTERACTION BOUT COUNT,1.0
termites_test,Animal_2,Animal_1,None,INTERACTION BOUT COUNT,2.0
termites_test,Animal_2,Animal_1,Abdomen,INTERACTION BOUT COUNT,2.0
termites_test,Animal_2,Animal_1,Tail,INTERACTION BOUT COUNT,2.0
termites_test,Animal_2,Animal_5,None,INTERACTION BOUT COUNT,1.0
termites_test,Animal_2,Animal_5,Abdomen,INTERACTION BOUT COUNT,1.0
termites_test,Animal_2,Animal_5,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_2,Animal_5,Tail,INTERACTION BOUT COUNT,1.0
termites_test,Animal_2,Animal_5,Thorax,INTERACTION BOUT COUNT,4.0
termites_test,Animal_3,Animal_1,None,INTERACTION BOUT COUNT,5.0
termites_test,Animal_3,Animal_4,None,INTERACTION BOUT COUNT,11.0
termites_test,Animal_3,Animal_4,Abdomen,INTERACTION BOUT COUNT,6.0
termites_test,Animal_3,Animal_4,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_3,Animal_4,Tail,INTERACTION BOUT COUNT,2.0
termites_test,Animal_3,Animal_4,Thorax,INTERACTION BOUT COUNT,3.0
termites_test,Animal_4,Animal_1,None,INTERACTION BOUT COUNT,5.0
termites_test,Animal_4,Animal_1,Head,INTERACTION BOUT COUNT,1.0
termites_test,Animal_4,Animal_1,Tail,INTERACTION BOUT COUNT,2.0
termites_test,Animal_4,Animal_3,None,INTERACTION BOUT COUNT,11.0
termites_test,Animal_4,Animal_3,Abdomen,INTERACTION BOUT COUNT,1.0
termites_test,Animal_4,Animal_3,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_4,Animal_3,Tail,INTERACTION BOUT COUNT,1.0
termites_test,Animal_4,Animal_3,Thorax,INTERACTION BOUT COUNT,1.0
termites_test,Animal_4,Animal_5,None,INTERACTION BOUT COUNT,1.0
termites_test,Animal_4,Animal_5,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_5,Animal_2,None,INTERACTION BOUT COUNT,1.0
termites_test,Animal_5,Animal_2,Abdomen,INTERACTION BOUT COUNT,3.0
termites_test,Animal_5,Animal_2,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_5,Animal_2,Tail,INTERACTION BOUT COUNT,4.0
termites_test,Animal_5,Animal_2,Thorax,INTERACTION BOUT COUNT,2.0
termites_test,Animal_5,Animal_4,None,INTERACTION BOUT COUNT,1.0
termites_test,Animal_5,Animal_4,Head,INTERACTION BOUT COUNT,2.0
termites_test,Animal_1,Animal_2,None,INTERACTION BOUT MEAN (s),1.0333
termites_test,Animal_1,Animal_3,None,INTERACTION BOUT MEAN (s),0.46
termites_test,Animal_1,Animal_3,Tail,INTERACTION BOUT MEAN (s),1.9
termites_test,Animal_1,Animal_4,None,INTERACTION BOUT MEAN (s),1.2333
termites_test,Animal_1,Animal_4,Head,INTERACTION BOUT MEAN (s),0.8667
termites_test,Animal_1,Animal_4,Tail,INTERACTION BOUT MEAN (s),0.4
termites_test,Animal_2,Animal_1,None,INTERACTION BOUT MEAN (s),1.0333
termites_test,Animal_2,Animal_1,Abdomen,INTERACTION BOUT MEAN (s),0.0833
termites_test,Animal_2,Animal_1,Tail,INTERACTION BOUT MEAN (s),0.6
termites_test,Animal_2,Animal_5,None,INTERACTION BOUT MEAN (s),4.0
termites_test,Animal_2,Animal_5,Abdomen,INTERACTION BOUT MEAN (s),0.1
termites_test,Animal_2,Animal_5,Head,INTERACTION BOUT MEAN (s),0.9333
termites_test,Animal_2,Animal_5,Tail,INTERACTION BOUT MEAN (s),0.0333
termites_test,Animal_2,Animal_5,Thorax,INTERACTION BOUT MEAN (s),0.3917
termites_test,Animal_3,Animal_1,None,INTERACTION BOUT MEAN (s),0.46
termites_test,Animal_3,Animal_4,None,INTERACTION BOUT MEAN (s),0.9848
termites_test,Animal_3,Animal_4,Abdomen,INTERACTION BOUT MEAN (s),0.2889
termites_test,Animal_3,Animal_4,Head,INTERACTION BOUT MEAN (s),0.35
termites_test,Animal_3,Animal_4,Tail,INTERACTION BOUT MEAN (s),2.2333
termites_test,Animal_3,Animal_4,Thorax,INTERACTION BOUT MEAN (s),0.2222
termites_test,Animal_4,Animal_1,None,INTERACTION BOUT MEAN (s),1.2333
termites_test,Animal_4,Animal_1,Head,INTERACTION BOUT MEAN (s),0.8667
termites_test,Animal_4,Animal_1,Tail,INTERACTION BOUT MEAN (s),0.5833
termites_test,Animal_4,Animal_3,None,INTERACTION BOUT MEAN (s),0.9848
termites_test,Animal_4,Animal_3,Abdomen,INTERACTION BOUT MEAN (s),0.8333
termites_test,Animal_4,Animal_3,Head,INTERACTION BOUT MEAN (s),0.35
termites_test,Animal_4,Animal_3,Tail,INTERACTION BOUT MEAN (s),0.4333
termites_test,Animal_4,Animal_3,Thorax,INTERACTION BOUT MEAN (s),0.9333
termites_test,Animal_4,Animal_5,None,INTERACTION BOUT MEAN (s),1.9667
termites_test,Animal_4,Animal_5,Head,INTERACTION BOUT MEAN (s),0.0667
termites_test,Animal_5,Animal_2,None,INTERACTION BOUT MEAN (s),4.0
