Feature,Description
arm_y,Selects left or right armpit y coordinate based on probability
arm_p,Associated probability for arm_y
side_y,Selects left or right ventrum y coordinate based on probability
side_p,Associated probability for side_y
dam_centroid_y,Centroid of all dam points with probablilites above .4 weighted by keypoint probabilities 
dam_convex_hull,Perimeter of the convex hull of dam points with keypoint probabilities above .4
head_centroid_y,Centroid of all dam head points with probablilites above .4 weighted by keypoint probabilities 
head_convex_hull,Perimeter of the convex hull of dam head points with probabilities above .4
pups_convex_hull,Perimeter of the convex hull of all pup points with keypoint probabilities above .4
pup_avg_p,The mean probability of all pup points
high_p_pup_bp,The number of pup points with porbabilities above .4
high_p_dam_bp,The number of dam points with probabilities above .4
dam_nose_movement,Movement of the dam nose point from the previous frame
top_head_dam_movement,Movement of the dam top head point from the previous frame
back_1_left_movement,Movement of the dam back 1 left point from the previous frame
back_1_right_movement,Movement of the dam back 1 right point from the previous frame
back_1_center_movement,Movement of the dam back 1 center point from the previous frame
back_2_movement,Movement of the dam back 2 point from the previous frame
back_3_movement,Movement of the dam back 3 point from the previous frame
back_4_movement,Movement of the dam back 4 point from the previous frame
back_5_movement,Movement of the dam back 5 point from the previous frame
back_6_movement,Movement of the dam back 6 point from the previous frame
back_7_movement,Movement of the dam back 7 point from the previous frame
back_8_movement,Movement of the dam back 8 point from the previous frame
back_9_movement,Movement of the dam back 9 point from the previous frame
back_10_movement,Movement of the dam back 10 point from the previous frame
tail_base_movement,Movement of the dam tail base point from the previous frame
left_shoulder_movement,Movement of the dam left shoulder point from the previous frame
right_shoulder_movement,Movement of the dam right shoulder point from the previous frame
left_ventrum_side_movement,Movement of the dam left ventrum point from the previous frame
right_ventrum_side_movement,Movement of the dam right ventrum point from the previous frame
center_ventrum_movement,Movement of the dam center ventrum point from the previous frame
btwn_arms_movement,Movement of the dam between arms point from the previous frame
btwn_legs_movement,Movement of the dam between legs point from the previous frame
back_avg_movement,Mean movement of all dam back points from the previous frame
head_avg_movement,Mean movement of all dam head points from the previous frame
head_max_movement,Maximum movement of all dam head points from the previous frame
ventrum_side_movement,Mean of left_ventrum and right_ventrum movement weighted by point probabilities
leg_front_movement,Mean of left_leg_front and right_leg_front movement weighted by point probabilities
leg_behind_movement,Mean of left_leg_behind and right_leg_behind movement weighted by point probabilities
wrist_movement,Mean of left_wrist and right_wrist movement weighted by point probabilities
armpit_movement,Mean of left_armpit and right_armpit movement weighted by point probabilities
shoulder_movement,Mean of left_shoulder and right_shoulder movement weighted by point probabilities
eye_movement,Mean of left_eye and right_eye movement weighted by point probabilities
ear_movement,Mean of left_ear and right_ear movement weighted by point probabilities
ankle_movement,Mean of left_ankle and right_ankle movement weighted by point probabilities
dam_pup30m_distance,Distance between the dam centroid in the current frame to the pup centroid over a centered 30 minute window (or longest period available)
head_pup30m_distance,Distance between the dam head centroid in the current frame to the pup centroid over a centered 30 minute window (or longest period available)
dam_pup60m_distance,Distance between the dam centroid in the current frame to the pup centroid over a centered 60 minute window (or longest period available)
head_pup60m_distance,Distance between the dam head centroid in the current frame to the pup centroid over a centered 60 minute window (or longest period available)
dam_pup_distance,Distance between the dam centroid and pup centroid in the current frame
head_pup_distance,Distance between the dam head centroid and pup centroid in the current frame
back_length,Distance between dam back 1 and back 10
nose_back10_length,Distance between dam nose and back 10
wrist_nose_length,Distance between dam wrist and nose 
avg_dam_bp_p,Mean probability of dam points
sum_probabilities,Sum probability of dam points
dam_back_angle,"Angle between dam back 1, the center of a circle fitted through all dam back points, and dam back 10 "
dam_head_angle,"Angle between dam back 10, back 1 center, and top head points"
dam_back_top_angle,"Angle between dam back 10, back 4, and back 1 center points"
dam_head_angle2,"Angle between dam back 2, back 1 center, and top head points"
head_avg_movement_roll_mean_1s,Mean movement of dam head points over a centered 1 second window
head_avg_movement_roll_mean_1ds,Mean movement of dam head points over a centered 1 decisecond window
head_avg_movement_roll_mean_2s,Mean movement of dam head points over a centered 2 second window
