,Ear_left_x,Ear_left_y,Ear_left_p,Ear_right_x,Ear_right_y,Ear_right_p,Nose_x,Nose_y,Nose_p,Center_x,Center_y,Center_p,Lat_left_x,Lat_left_y,Lat_left_p,Lat_right_x,Lat_right_y,Lat_right_p,Tail_base_x,Tail_base_y,Tail_base_p,Tail_end_x,Tail_end_y,Tail_end_p,MY_CUE_LIGHT,MY_CUE_LIGHT_INTENSITY
0,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,553,456,0,626,475,0,0,92.89095062
1,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,553,456,0,625,475,0,0,93.02375277
2,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,553,456,0,626,475,0,0,93.03061027
3,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,553,456,0,625,475,0,0,92.97971372
4,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.68665,455.8031,0,625.6546,475,0,0,92.95910653
5,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.56305,455.68668,0,625.6684,475,0,0,92.98759483
6,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.43695,455.56305,0,625.76855,475,0,0,92.96016376
7,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.31335,455.43695,0,625.7848,475,0,0,92.95777392
8,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.1969,455.31332,0,625.792,475,0,0,92.92933801
9,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552.09155,455.1969,0,625.7893,475,0,0,93.08730184
10,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552,455.09158,0,625.792,475,0,0,93.08189034
11,439,428,0,461,450,0,469,427,0,500,444,0,494.09158,460,0,508,428,0,552,455,0,625.8764,475,0,0,93.07655773
12,439,428,0,461,450,0,469,427,0,500,444,0,494.1969,460,0,508,428,0,552,455,0,625.8739,475,0,0,93.03135114
13,439,428,0,461,450,0,469,427,0,500,444,0,494.31332,460,0,508,428,0,552,455.09158,0,625.8764,475,0,0,93.17048261
14,439,428,0,461,450,0,469,427,0,500,444,0,494.43695,460,0,508,428,0,552,455.1969,0,625.8836,475,0,0,93.1701746
15,439,428,0,461,450,0,469,427,0,500,444,0,494.56305,460,0,508,428,0,552,455.31332,0,625.89465,475,0,0,93.15864781
16,439,428,0,461,450,0,469,427,0,500,444,0,494.68668,460,0,508,428,0,552,455.43695,0,625.90845,475,0,0,93.13830511
17,439,428,0,461,450,0,469,427,0,500,444,0,494.71152,460,0,508,428,0,552,455.56305,0,626.09155,475,0,0,93.1588566
18,439,428,0,461,450,0,469,427,0,500,444,0,494.71152,460,0,508.09158,427.90842,0,552,455.5951,0,626.1969,475,0,0,93.06400765
19,439,428,0,461,450,0,469,427,0,500,444,0,494.68668,460,0,508.1969,427.89465,0,552,455.69775,0,626.31335,475,0,0,93.07175469
20,439,428,0,461,450,0,469,427,0,500,444,0,494.56305,460,0,508.22174,427.88358,0,552,455.70044,0,626.43695,475,0,0,93.03633357
21,439,428,0,461,450,0,469,427,0,500,444,0,494.43695,460,0,508.3316,427.87637,0,552,455.77106,0,626.4715,475,0,0,93.03017654
22,439,428,0,461,450,0,469,427,0,500,444,0,494.31332,460,0,508.35507,427.8739,0,552,455.6659,0,626.48975,475,0,0,93.01724774
23,439,428,0,461,450,0,469,427,0,500,444,0,494.1969,460,0,508.36615,427.87637,0,552,455.55585,0,626.58136,475,0,0,93.06938359
24,439,428,0,461,450,0,469,427,0,500,444,0,494.09158,460,0,508.36365,427.88358,0,552,455.44415,0,626.57684,475,0,0,93.01746813
25,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508.34787,427.89465,0,552,455.4257,0,626.55334,475,0,0,93.02748787
26,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508.32053,427.90842,0,552,455.3343,0,626.43695,475,0,0,93.02739711
27,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508.20798,428,0,552,455.3244,0,626.323,475,0,0,93.02419659
28,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508.10535,428,0,552,455.22894,0,626.2152,475,0,0,93.02630374
29,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508.09158,428,0,552,455.21768,0,626.1164,475,0,0,93.07597251
30,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552,455.12363,0,626.10535,475,0,0,93.0437216
31,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552,455.11642,0,626.09155,475,0,0,92.9754805
32,439,428,0,461,450,0,469,427,0,500,444,0,494,460,0,508,428,0,552,455.10535,0,626,475,0,0,92.98160426
