,package_name,package_version,country,download_date,download_count
0,simba-uw-tf-dev,2.9.6,CH,4/4/25,1
1,simba-uw-tf-dev,2.9.6,JP,4/4/25,1
2,simba-uw-tf-dev,2.9.6,US,4/4/25,4
253,simba-uw-tf-dev,2.9.6,CA,4/3/25,1
254,simba-uw-tf-dev,2.9.6,CN,4/3/25,18
255,simba-uw-tf-dev,2.9.6,DE,4/3/25,2
256,simba-uw-tf-dev,2.9.6,FR,4/3/25,1
257,simba-uw-tf-dev,2.9.6,GB,4/3/25,1
258,simba-uw-tf-dev,2.9.6,HK,4/3/25,4
259,simba-uw-tf-dev,2.9.6,HR,4/3/25,2
260,simba-uw-tf-dev,2.9.6,NL,4/3/25,2
261,simba-uw-tf-dev,2.9.6,RU,4/3/25,3
262,simba-uw-tf-dev,2.9.6,SE,4/3/25,2
263,simba-uw-tf-dev,2.9.6,US,4/3/25,53
245,simba-uw-tf-dev,2.9.5,CA,4/3/25,2
246,simba-uw-tf-dev,2.9.5,ES,4/3/25,1
247,simba-uw-tf-dev,2.9.5,IL,4/3/25,1
248,simba-uw-tf-dev,2.9.5,KR,4/3/25,4
249,simba-uw-tf-dev,2.9.5,MA,4/3/25,1
250,simba-uw-tf-dev,2.9.5,NL,4/3/25,4
251,simba-uw-tf-dev,2.9.5,TW,4/3/25,2
252,simba-uw-tf-dev,2.9.5,US,4/3/25,35
1725,simba-uw-tf-dev,2.9.5,AU,4/2/25,2
1726,simba-uw-tf-dev,2.9.5,CA,4/2/25,2
1727,simba-uw-tf-dev,2.9.5,CN,4/2/25,11
1728,simba-uw-tf-dev,2.9.5,FR,4/2/25,1
1729,simba-uw-tf-dev,2.9.5,GB,4/2/25,1
1730,simba-uw-tf-dev,2.9.5,HK,4/2/25,2
1731,simba-uw-tf-dev,2.9.5,IN,4/2/25,2
1732,simba-uw-tf-dev,2.9.5,JP,4/2/25,2
1733,simba-uw-tf-dev,2.9.5,NO,4/2/25,2
1734,simba-uw-tf-dev,2.9.5,SG,4/2/25,2
1735,simba-uw-tf-dev,2.9.5,US,4/2/25,28
2315,simba-uw-tf-dev,2.9.5,AT,4/1/25,2
2316,simba-uw-tf-dev,2.9.5,AU,4/1/25,3
2317,simba-uw-tf-dev,2.9.5,CA,4/1/25,1
2318,simba-uw-tf-dev,2.9.5,CN,4/1/25,20
2319,simba-uw-tf-dev,2.9.5,DE,4/1/25,10
2320,simba-uw-tf-dev,2.9.5,DK,4/1/25,4
2321,simba-uw-tf-dev,2.9.5,ES,4/1/25,1
2322,simba-uw-tf-dev,2.9.5,FR,4/1/25,4
2323,simba-uw-tf-dev,2.9.5,GB,4/1/25,4
2324,simba-uw-tf-dev,2.9.5,HK,4/1/25,9
2325,simba-uw-tf-dev,2.9.5,HR,4/1/25,2
2326,simba-uw-tf-dev,2.9.5,JP,4/1/25,9
2327,simba-uw-tf-dev,2.9.5,KR,4/1/25,4
2328,simba-uw-tf-dev,2.9.5,NL,4/1/25,4
2329,simba-uw-tf-dev,2.9.5,PL,4/1/25,1
2330,simba-uw-tf-dev,2.9.5,RU,4/1/25,5
2331,simba-uw-tf-dev,2.9.5,SE,4/1/25,2
2332,simba-uw-tf-dev,2.9.5,SG,4/1/25,12
2333,simba-uw-tf-dev,2.9.5,TW,4/1/25,2
2334,simba-uw-tf-dev,2.9.5,US,4/1/25,110
239,simba-uw-tf-dev,2.9.4,CA,4/3/25,2
240,simba-uw-tf-dev,2.9.4,IE,4/3/25,1
241,simba-uw-tf-dev,2.9.4,KR,4/3/25,3
242,simba-uw-tf-dev,2.9.4,SG,4/3/25,2
243,simba-uw-tf-dev,2.9.4,TW,4/3/25,2
244,simba-uw-tf-dev,2.9.4,US,4/3/25,6
1721,simba-uw-tf-dev,2.9.4,CN,4/2/25,4
1722,simba-uw-tf-dev,2.9.4,JP,4/2/25,2
1723,simba-uw-tf-dev,2.9.4,NO,4/2/25,2
1724,simba-uw-tf-dev,2.9.4,US,4/2/25,5
2310,simba-uw-tf-dev,2.9.4,AU,4/1/25,3
2311,simba-uw-tf-dev,2.9.4,DK,4/1/25,2
2312,simba-uw-tf-dev,2.9.4,KR,4/1/25,4
2313,simba-uw-tf-dev,2.9.4,NL,4/1/25,2
2314,simba-uw-tf-dev,2.9.4,US,4/1/25,14
3134,simba-uw-tf-dev,2.9.4,CN,3/31/25,3
