Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
R12_4_(3a_vez),walking,0.0,1.0,0,29,1.0
R12_4_(3a_vez),walking,5.4,7.433333333333334,162,222,2.033333333333333
R12_4_(3a_vez),walking,13.633333333333333,13.9,409,416,0.26666666666666666
R12_4_(3a_vez),walking,16.066666666666666,16.566666666666666,482,496,0.5
R12_4_(3a_vez),walking,25.4,30.7,762,920,5.3
R10_2_(2a_vez),walking,0.0,0.1,0,2,0.1
R10_2_(2a_vez),walking,0.36666666666666664,0.5333333333333333,11,15,0.16666666666666666
R10_2_(2a_vez),walking,1.2,1.8333333333333333,36,54,0.6333333333333333
R10_2_(2a_vez),walking,36.13333333333333,36.46666666666667,1084,1093,0.3333333333333333
R10_2_(2a_vez),walking,37.86666666666667,38.266666666666666,1136,1147,0.4
R10_2_(2a_vez),walking,44.46666666666667,44.666666666666664,1334,1339,0.2
R10_2_(2a_vez),walking,48.833333333333336,49.36666666666667,1465,1480,0.5333333333333333
R10_2_(2a_vez),walking,49.6,49.733333333333334,1488,1491,0.13333333333333333
R10_2_(2a_vez),walking,54.86666666666667,55.333333333333336,1646,1659,0.4666666666666667
R7_2_(1a_vez),walking,0.0,5.366666666666666,0,160,5.366666666666666
R7_1_(2a_vez),walking,0.0,6.133333333333334,0,183,6.133333333333334
R12_2_(3a_vez),walking,0.0,0.26666666666666666,0,7,0.26666666666666666
R12_2_(3a_vez),walking,1.0,5.033333333333333,30,150,4.033333333333333
R12_2_(3a_vez),walking,5.3,5.433333333333334,159,162,0.13333333333333333
R12_2_(3a_vez),walking,6.033333333333333,6.9,181,206,0.8666666666666667
R12_2_(3a_vez),walking,7.033333333333333,7.3,211,218,0.26666666666666666
R12_2_(3a_vez),walking,7.9,9.7,237,290,1.8
R12_2_(3a_vez),walking,10.133333333333333,10.3,304,308,0.16666666666666666
R12_2_(3a_vez),walking,10.566666666666666,10.766666666666667,317,322,0.2
R7_3_(1a_vez),walking,0.0,5.733333333333333,0,171,5.733333333333333
R10_3_(2a_vez),walking,0.0,0.8666666666666667,0,25,0.8666666666666667
R10_3_(2a_vez),walking,1.4,2.3666666666666667,42,70,0.9666666666666667
R10_3_(2a_vez),walking,2.7666666666666666,4.5,83,134,1.7333333333333334
R10_3_(2a_vez),walking,5.433333333333334,6.866666666666666,163,205,1.4333333333333333
R10_3_(2a_vez),walking,7.133333333333334,8.366666666666667,214,250,1.2333333333333334
R10_4_(2a_vez),walking,0.0,0.03333333333333333,0,0,0.03333333333333333
R10_4_(2a_vez),walking,0.4666666666666667,5.133333333333334,14,153,4.666666666666667
R10_4_(2a_vez),walking,6.366666666666666,7.366666666666666,191,220,1.0
R12_4_(2a_vez),walking,0.0,1.1,0,32,1.1
R12_4_(2a_vez),walking,1.2333333333333334,1.4,37,41,0.16666666666666666
R12_4_(2a_vez),walking,2.5,4.533333333333333,75,135,2.033333333333333
R12_4_(2a_vez),walking,4.733333333333333,7.033333333333333,142,210,2.3
R12_3_(2a_vez),walking,0.0,0.8333333333333334,0,24,0.8333333333333334
R12_3_(2a_vez),walking,2.933333333333333,3.8333333333333335,88,114,0.9
R12_3_(2a_vez),walking,31.666666666666668,32.3,950,968,0.6333333333333333
R12_3_(2a_vez),walking,33.13333333333333,38.36666666666667,994,1150,5.233333333333333
R10_2_(3a_vez),walking,0.0,0.3333333333333333,0,9,0.3333333333333333
R10_2_(3a_vez),walking,0.5,6.066666666666666,15,181,5.566666666666666
R7_1_(3a_vez),walking,0.0,4.266666666666667,0,127,4.266666666666667
R7_1_(3a_vez),walking,5.066666666666666,7.833333333333333,152,234,2.7666666666666666
R12_2_(2a_vez),walking,0.0,6.5,0,194,6.5
R10_3_(3a_vez),walking,0.0,4.9,0,146,4.9
R10_4_(3a_vez),walking,0.0,1.5666666666666667,0,46,1.5666666666666667
R10_4_(3a_vez),walking,1.9333333333333333,2.8666666666666667,58,85,0.9333333333333333
R10_4_(3a_vez),walking,3.6333333333333333,5.333333333333333,109,159,1.7
R10_4_(3a_vez),walking,6.266666666666667,7.6,188,227,1.3333333333333333
R10_4_(3a_vez),walking,8.2,9.533333333333333,246,285,1.3333333333333333
R10_4_(3a_vez),walking,9.866666666666667,10.033333333333333,296,300,0.16666666666666666
R10_4_(3a_vez),walking,10.366666666666667,11.366666666666667,311,340,1.0
R10_4_(3a_vez),walking,12.4,12.8,372,383,0.4
R12_4_(1a_vez),walking,0.0,0.43333333333333335,0,12,0.43333333333333335
R12_4_(1a_vez),walking,2.066666666666667,6.566666666666666,62,196,4.5
R12_3_(1a_vez),walking,0.0,2.0,0,59,2.0
R12_3_(1a_vez),walking,2.3,2.6333333333333333,69,78,0.3333333333333333
R12_3_(1a_vez),walking,3.3,6.666666666666667,99,199,3.3666666666666667
R7_2_(3a_vez),walking,0.0,2.933333333333333,0,87,2.933333333333333
R7_2_(3a_vez),walking,3.6666666666666665,5.4,110,161,1.7333333333333334
R7_2_(3a_vez),walking,7.8,8.266666666666667,234,247,0.4666666666666667
R7_2_(3a_vez),walking,8.566666666666666,9.666666666666666,257,289,1.1
R12_2_(1a_vez),walking,0.0,2.7666666666666666,0,82,2.7666666666666666
R12_2_(1a_vez),walking,3.1,5.366666666666666,93,160,2.2666666666666666
R12_2_(1a_vez),walking,6.1,6.933333333333334,183,207,0.8333333333333334
R7_3_(3a_vez),walking,0.6,3.533333333333333,18,105,2.933333333333333
R7_3_(3a_vez),walking,3.966666666666667,4.9,119,146,0.9333333333333333
R7_3_(3a_vez),walking,5.133333333333334,6.0,154,179,0.8666666666666667
R7_3_(3a_vez),walking,6.433333333333334,6.7,193,200,0.26666666666666666
R7_3_(3a_vez),walking,7.833333333333333,8.066666666666666,235,241,0.23333333333333334
R7_3_(3a_vez),walking,9.266666666666667,13.9,278,416,4.633333333333334
R7_3_(3a_vez),walking,15.433333333333334,16.033333333333335,463,480,0.6
R7_1_(1a_vez),walking,0.0,5.833333333333333,0,174,5.833333333333333
R7_2_(2a_vez),walking,0.0,0.6666666666666666,0,19,0.6666666666666666
R7_2_(2a_vez),walking,7.266666666666667,7.633333333333334,218,228,0.36666666666666664
R7_2_(2a_vez),walking,7.866666666666666,8.1,236,242,0.23333333333333334
R7_2_(2a_vez),walking,8.433333333333334,11.533333333333333,253,345,3.1
R7_2_(2a_vez),walking,11.7,11.933333333333334,351,357,0.23333333333333334
R7_2_(2a_vez),walking,12.1,13.433333333333334,363,402,1.3333333333333333
R7_2_(2a_vez),walking,16.933333333333334,17.2,508,515,0.26666666666666666
R7_2_(2a_vez),walking,17.7,18.233333333333334,531,546,0.5333333333333333
R10_2_(1a_vez),walking,0.6,0.7333333333333333,18,21,0.13333333333333333
R10_2_(1a_vez),walking,2.0,3.6,60,107,1.6
R10_2_(1a_vez),walking,4.933333333333334,5.866666666666666,148,175,0.9333333333333333
R10_2_(1a_vez),walking,16.133333333333333,16.566666666666666,484,496,0.43333333333333335
R10_2_(1a_vez),walking,17.3,19.0,519,569,1.7
R10_2_(1a_vez),walking,19.833333333333332,21.8,595,653,1.9666666666666666
R10_2_(1a_vez),walking,22.366666666666667,23.533333333333335,671,705,1.1666666666666667
R10_2_(1a_vez),walking,24.133333333333333,24.4,724,731,0.26666666666666666
R10_3_(1a_vez),walking,0.0,5.1,0,152,5.1
R10_4_(1a_vez),walking,0.0,5.366666666666666,0,160,5.366666666666666
R7_3_(2a_vez),walking,0.0,0.4666666666666667,0,13,0.4666666666666667
R7_3_(2a_vez),walking,3.6333333333333333,4.366666666666666,109,130,0.7333333333333333
R7_3_(2a_vez),walking,5.733333333333333,7.433333333333334,172,222,1.7
R7_3_(2a_vez),walking,7.766666666666667,8.733333333333333,233,261,0.9666666666666667
R7_3_(2a_vez),walking,9.3,11.033333333333333,279,330,1.7333333333333334
R7_3_(2a_vez),walking,11.166666666666666,11.366666666666667,335,340,0.2
R7_3_(2a_vez),walking,12.366666666666667,12.533333333333333,371,375,0.16666666666666666
R7_3_(2a_vez),walking,14.966666666666667,17.9,449,536,2.933333333333333
R7_3_(2a_vez),walking,18.166666666666668,20.366666666666667,545,610,2.2
R7_3_(2a_vez),walking,23.933333333333334,25.066666666666666,718,751,1.1333333333333333
R7_3_(2a_vez),walking,26.066666666666666,26.4,782,791,0.3333333333333333
R7_3_(2a_vez),walking,26.6,27.0,798,809,0.4
R7_3_(2a_vez),walking,30.233333333333334,30.366666666666667,907,910,0.13333333333333333
R7_3_(2a_vez),walking,33.233333333333334,33.4,997,1001,0.16666666666666666
R7_3_(2a_vez),walking,34.96666666666667,38.3,1049,1148,3.3333333333333335
R7_3_(2a_vez),walking,38.8,41.666666666666664,1164,1249,2.8666666666666667
