"","VIDEO","BODY-PART","EVENT","START TIME (S)","END TIME (S)","START FRAME","END FRAME","DURATION (S)","START TIME (HH:MM:SS)","END TIME (HH:MM:SS)"
"0","4W DLB C7-1L_8bit_clipped","center","DARK BOX",0,15.4,0,461,15.4,"00:00:00","00:00:15"
"1","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",15.4,23.3,462,698,7.9,"00:00:15","00:00:23"
"2","4W DLB C7-1L_8bit_clipped","center","DARK BOX",23.3,33,699,989,9.7,"00:00:23","00:00:33"
"3","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",33,39.266666666666666,990,1177,6.266666666666667,"00:00:33","00:00:39"
"4","4W DLB C7-1L_8bit_clipped","center","DARK BOX",39.266666666666666,52.766666666666666,1178,1582,13.5,"00:00:39","00:00:52"
"5","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",52.766666666666666,63.3,1583,1898,10.533333333333333,"00:00:52","00:01:03"
"6","4W DLB C7-1L_8bit_clipped","center","DARK BOX",63.3,82.3,1899,2468,19,"00:01:03","00:01:22"
"7","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",82.3,83.43333333333334,2469,2502,1.1333333333333333,"00:01:22","00:01:23"
"8","4W DLB C7-1L_8bit_clipped","center","DARK BOX",83.43333333333334,102.83333333333333,2503,3084,19.4,"00:01:23","00:01:42"
"9","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",102.83333333333333,119.53333333333333,3085,3585,16.7,"00:01:42","00:01:59"
"10","4W DLB C7-1L_8bit_clipped","center","DARK BOX",119.53333333333333,128.3,3586,3848,8.766666666666667,"00:01:59","00:02:08"
"11","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",128.3,129.3,3849,3878,1,"00:02:08","00:02:09"
"12","4W DLB C7-1L_8bit_clipped","center","DARK BOX",129.3,153.6,3879,4607,24.299999999999997,"00:02:09","00:02:33"
"13","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",153.6,171.7,4608,5150,18.1,"00:02:33","00:02:51"
"14","4W DLB C7-1L_8bit_clipped","center","DARK BOX",171.7,188.5,5151,5654,16.8,"00:02:51","00:03:08"
"15","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",188.5,197.9,5655,5936,9.4,"00:03:08","00:03:17"
"16","4W DLB C7-1L_8bit_clipped","center","DARK BOX",197.9,202.46666666666667,5937,6073,4.566666666666666,"00:03:17","00:03:22"
"17","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",202.46666666666667,212.2,6074,6365,9.733333333333333,"00:03:22","00:03:32"
"18","4W DLB C7-1L_8bit_clipped","center","DARK BOX",212.2,224.66666666666666,6366,6739,12.466666666666667,"00:03:32","00:03:44"
"19","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",224.66666666666666,243.73333333333332,6740,7311,19.066666666666666,"00:03:44","00:04:03"
"20","4W DLB C7-1L_8bit_clipped","center","DARK BOX",243.73333333333332,268.9,7312,8066,25.166666666666668,"00:04:03","00:04:28"
"21","4W DLB C7-1L_8bit_clipped","center","LIGHT BOX",268.9,290.93333333333334,8067,8727,22.03333333333333,"00:04:28","00:04:50"
"22","4W DLB C7-1L_8bit_clipped","center","DARK BOX",290.93333333333334,299.73333333333335,8728,8991,8.8,"00:04:50","00:04:59"
