VIDEO,ANIMAL,BODY-PART,SHAPE,SHAPE TYPE,MEASUREMENT,VALUE
501_MA142_Gi_CNO_0521,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.799536815672095
501_MA142_Gi_CNO_0521,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),831.0
501_MA142_Gi_CNO_0521,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),1125.810562183165
501_MA142_Gi_CNO_0521,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),922.7
501_MA142_Gi_CNO_0521,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),2.180563145818875
501_MA142_Gi_CNO_0521,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),831.0
501_MA142_Gi_CNO_0521,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),459.09137008519383
501_MA142_Gi_CNO_0521,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),288.5
501_MA142_Gi_DCZ_0603,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.9535655533449092
501_MA142_Gi_DCZ_0603,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),885.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),1224.4496938578927
501_MA142_Gi_DCZ_0603,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),929.4333333333332
501_MA142_Gi_DCZ_0603,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),2.8910100654123654
501_MA142_Gi_DCZ_0603,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),886.0
501_MA142_Gi_DCZ_0603,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),1051.0373322772034
501_MA142_Gi_DCZ_0603,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),306.5666666666666
501_MA142_Gi_Saline_0513,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),3.414492225240957
501_MA142_Gi_Saline_0513,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),1388.0
501_MA142_Gi_Saline_0513,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),1227.3342311359422
501_MA142_Gi_Saline_0513,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),565.7666666666667
501_MA142_Gi_Saline_0513,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),5.828881767180417
501_MA142_Gi_Saline_0513,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),1388.0
501_MA142_Gi_Saline_0513,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),2750.9967826962234
501_MA142_Gi_Saline_0513,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),640.9
501_MA142_Gi_Saline_0515,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),2.129557134527694
501_MA142_Gi_Saline_0515,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),1022.0
501_MA142_Gi_Saline_0515,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),1285.631992097648
501_MA142_Gi_Saline_0515,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),909.5333333333333
501_MA142_Gi_Saline_0515,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),2.637015718525179
501_MA142_Gi_Saline_0515,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),1022.0
501_MA142_Gi_Saline_0515,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),548.7702802901308
501_MA142_Gi_Saline_0515,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),294.0333333333333
501_MA142_Gi_Saline_0517,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.6792249038873754
501_MA142_Gi_Saline_0517,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),1140.0
501_MA142_Gi_Saline_0517,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),983.2015211271805
501_MA142_Gi_Saline_0517,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),774.2666666666667
501_MA142_Gi_Saline_0517,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),1.9959874786279086
501_MA142_Gi_Saline_0517,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),1140.0
501_MA142_Gi_Saline_0517,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),676.8784872851165
501_MA142_Gi_Saline_0517,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),429.66666666666663
502_MA141_Gi_CNO_0514,Animal_1,Center,Cue_light_1,rectangle,AVERAGE ROI VELOCITY (CM/S),1.8347973588106388
502_MA141_Gi_CNO_0514,Animal_1,Center,Cue_light_1,rectangle,ROI ENTRIES (COUNTS),880.0
502_MA141_Gi_CNO_0514,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI MOVEMENT (CM),678.2528523144907
502_MA141_Gi_CNO_0514,Animal_1,Center,Cue_light_1,rectangle,TOTAL ROI TIME (S),662.9333333333334
502_MA141_Gi_CNO_0514,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,AVERAGE ROI VELOCITY (CM/S),2.456326841299047
502_MA141_Gi_CNO_0514,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,ROI ENTRIES (COUNTS),881.0
502_MA141_Gi_CNO_0514,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI MOVEMENT (CM),913.2067330645864
502_MA141_Gi_CNO_0514,Animal_1,Center,OUTSIDE REGIONS OF INTEREST,NONE,TOTAL ROI TIME (S),544.0666666666667
