VIDEO,SHAPE,ANIMAL,BODY-PART,TIME-BIN #,MEASUREMENT,VALUE
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,0,AVERAGE ROI VELOCITY (CM/S),4.766440857585632
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,0,ROI ENTRIES (COUNTS),16.0
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,0,TOTAL ROI TIME (S),494.3666666666667
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,0,TOTAL ROI TIME (S),2359.38818359375
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,1,AVERAGE ROI VELOCITY (CM/S),2.661185962179739
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,1,ROI ENTRIES (COUNTS),4.0
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,1,TOTAL ROI TIME (S),498.3666666666667
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,1,TOTAL ROI TIME (S),1324.46923828125
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,2,AVERAGE ROI VELOCITY (CM/S),1.3248446575928268
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,2,ROI ENTRIES (COUNTS),0.0
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,2,TOTAL ROI TIME (S),211.2
501_MA142_Gi_CNO_0521,Cue_light_1,Animal_1,Nose,2,TOTAL ROI TIME (S),280.94708251953125
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,0,AVERAGE ROI VELOCITY (CM/S),25.989275164074368
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,0,ROI ENTRIES (COUNTS),16.0
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,0,TOTAL ROI TIME (S),5.633333333333334
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,0,TOTAL ROI TIME (S),155.77792358398438
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,1,AVERAGE ROI VELOCITY (CM/S),7.103282769521078
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,1,ROI ENTRIES (COUNTS),4.0
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,1,TOTAL ROI TIME (S),1.6333333333333333
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,1,TOTAL ROI TIME (S),27.957748413085938
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,2,AVERAGE ROI VELOCITY (CM/S),
501_MA142_Gi_CNO_0521,OUTSIDE REGIONS OF INTEREST,Animal_1,Nose,2,ROI ENTRIES (COUNTS),0.0
