,Center_X,Center_Y,Color BGR,Color name,Ear_tag_size,Name,Shape_type,Tags,Thickness,Video,vertices
0,1346.0,711.0,"(192, 192, 192)",Light-grey,10,Non-Fighting-Q,Polygon,"{'Tag_0': (1252, 182), 'Tag_1': (1364, 174), 'Tag_2': (1987, 192), 'Tag_3': (1993, 1192), 'Tag_4': (1381, 1186), 'Tag_5': (1119, 1142), 'Tag_6': (1109, 1187), 'Tag_7': (1053, 1150), 'Tag_8': (1063, 473), 'Tag_9': (1240, 473), 'Tag_10': (1252, 473), 'Center_tag': (1346, 711)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[1252  182]
 [1364  174]
 [1987  192]
 [1993 1192]
 [1381 1186]
 [1119 1142]
 [1109 1187]
 [1053 1150]
 [1063  473]
 [1240  473]
 [1252  473]]"
1,561.0,1195.0,"(0, 165, 255)",Orange,10,Hiding-Down-Fighting,Polygon,"{'Tag_0': (39, 1194), 'Tag_1': (652, 1192), 'Tag_2': (893, 1153), 'Tag_3': (915, 1149), 'Tag_4': (934, 1165), 'Tag_5': (907, 1203), 'Tag_6': (656, 1247), 'Tag_7': (27, 1248), 'Tag_8': (27, 1211), 'Center_tag': (561, 1195)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[  39 1194]
 [ 652 1192]
 [ 893 1153]
 [ 915 1149]
 [ 934 1165]
 [ 907 1203]
 [ 656 1247]
 [  27 1248]
 [  27 1211]]"
2,1543.0,150.0,"(0, 165, 255)",Orange,10,Hiding-Up-Non-Fighting,Polygon,"{'Tag_0': (1142, 184), 'Tag_1': (1121, 170), 'Tag_2': (1129, 130), 'Tag_3': (1345, 105), 'Tag_4': (1777, 118), 'Tag_5': (1996, 131), 'Tag_6': (2018, 162), 'Tag_7': (2000, 187), 'Tag_8': (1364, 165), 'Center_tag': (1543, 150)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[1142  184]
 [1121  170]
 [1129  130]
 [1345  105]
 [1777  118]
 [1996  131]
 [2018  162]
 [2000  187]
 [1364  165]]"
3,1541.0,1206.0,"(0, 165, 255)",Orange,10,Hiding-Down-Non-Fighting,Polygon,"{'Tag_0': (1121, 1150), 'Tag_1': (1117, 1179), 'Tag_2': (1129, 1202), 'Tag_3': (1339, 1247), 'Tag_4': (1730, 1250), 'Tag_5': (1979, 1250), 'Tag_6': (2014, 1237), 'Tag_7': (2010, 1203), 'Tag_8': (1956, 1200), 'Tag_9': (1377, 1192), 'Tag_10': (1181, 1157), 'Center_tag': (1541, 1206)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[1121 1150]
 [1117 1179]
 [1129 1202]
 [1339 1247]
 [1730 1250]
 [1979 1250]
 [2014 1237]
 [2010 1203]
 [1956 1200]
 [1377 1192]
 [1181 1157]]"
4,767.0,849.0,"(0, 0, 255)",Red,10,Fighting-Q,Polygon,"{'Tag_0': (66, 146), 'Tag_1': (803, 184), 'Tag_2': (801, 467), 'Tag_3': (805, 475), 'Tag_4': (1019, 473), 'Tag_5': (1009, 1110), 'Tag_6': (1015, 1153), 'Tag_7': (974, 1174), 'Tag_8': (940, 1190), 'Tag_9': (932, 1157), 'Tag_10': (909, 1145), 'Tag_11': (662, 1184), 'Tag_12': (45, 1190), 'Center_tag': (767, 849)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[  66  146]
 [ 803  184]
 [ 801  467]
 [ 805  475]
 [1019  473]
 [1009 1110]
 [1015 1153]
 [ 974 1174]
 [ 940 1190]
 [ 932 1157]
 [ 909 1145]
 [ 662 1184]
 [  45 1190]]"
5,977.0,392.0,"(255, 51, 153)",Purple,10,Hiding resources,Polygon,"{'Tag_0': (1048, 462), 'Tag_1': (1082, 443), 'Tag_2': (1096, 410), 'Tag_3': (1075, 366), 'Tag_4': (1050, 343), 'Tag_5': (1006, 339), 'Tag_6': (970, 366), 'Tag_7': (958, 381), 'Tag_8': (945, 360), 'Tag_9': (931, 335), 'Tag_10': (906, 329), 'Tag_11': (878, 345), 'Tag_12': (880, 378), 'Tag_13': (897, 405), 'Tag_14': (913, 422), 'Tag_15': (954, 422), 'Tag_16': (972, 433), 'Tag_17': (993, 453), 'Tag_18': (1018, 459), 'Center_tag': (977, 392)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[1048  462]
 [1082  443]
 [1096  410]
 [1075  366]
 [1050  343]
 [1006  339]
 [ 970  366]
 [ 958  381]
 [ 945  360]
 [ 931  335]
 [ 906  329]
 [ 878  345]
 [ 880  378]
 [ 897  405]
 [ 913  422]
 [ 954  422]
 [ 972  433]
 [ 993  453]
 [1018  459]]"
6,482.0,129.0,"(0, 165, 255)",Orange,10,Hiding-Up-Fighting,Polygon,"{'Tag_0': (64, 138), 'Tag_1': (56, 113), 'Tag_2': (64, 93), 'Tag_3': (672, 94), 'Tag_4': (918, 118), 'Tag_5': (928, 187), 'Tag_6': (675, 160), 'Center_tag': (482, 129)}",5,HybCD1-B1-D5-LocoPost-TC-Agouti,"[[ 64 138]
 [ 56 113]
 [ 64  93]
 [672  94]
 [918 118]
 [928 187]
 [675 160]]"
7,536.0,80.0,"(0, 165, 255)",Orange,10,Hiding-Up-Fighting,Polygon,"{'Tag_0': (49, 91), 'Tag_1': (31, 65), 'Tag_2': (47, 36), 'Tag_3': (681, 36), 'Tag_4': (930, 75), 'Tag_5': (947, 112), 'Tag_6': (922, 130), 'Tag_7': (681, 102), 'Center_tag': (536, 80)}",5,HybCD1-B1-D5-LocoPost-TC-Black,"[[ 49  91]
 [ 31  65]
 [ 47  36]
 [681  36]
 [930  75]
 [947 112]
 [922 130]
 [681 102]]"
8,1577.0,1113.0,"(0, 165, 255)",Orange,10,Hiding-Down-Non-Fighting,Polygon,"{'Tag_0': (1989, 1104), 'Tag_1': (2008, 1121), 'Tag_2': (2006, 1149), 'Tag_3': (1387, 1160), 'Tag_4': (1154, 1121), 'Tag_5': (1132, 1099), 'Tag_6': (1165, 1073), 'Tag_7': (1389, 1100), 'Tag_8': (1964, 1091), 'Center_tag': (1577, 1113)}",5,HybCD1-B1-D5-LocoPost-TC-Black,"[[1989 1104]
 [2008 1121]
 [2006 1149]
 [1387 1160]
 [1154 1121]
 [1132 1099]
 [1165 1073]
 [1389 1100]
 [1964 1091]]"
9,752.0,730.0,"(0, 0, 255)",Red,10,Fighting-Q,Polygon,"{'Tag_0': (45, 99), 'Tag_1': (668, 112), 'Tag_2': (839, 130), 'Tag_3': (837, 433), 'Tag_4': (843, 446), 'Tag_5': (1009, 442), 'Tag_6': (1026, 1141), 'Tag_7': (965, 1134), 'Tag_8': (945, 1129), 'Tag_9': (942, 1102), 'Tag_10': (918, 1081), 'Tag_11': (662, 1128), 'Tag_12': (83, 1120), 'Center_tag': (752, 730)}",5,HybCD1-B1-D5-LocoPost-TC-Black,"[[  45   99]
 [ 668  112]
 [ 839  130]
 [ 837  433]
 [ 843  446]
 [1009  442]
 [1026 1141]
 [ 965 1134]
 [ 945 1129]
 [ 942 1102]
 [ 918 1081]
 [ 662 1128]
 [  83 1120]]"
