OBSERVATIONS N UMAP FIT,UMAP FIT GPU,UMAP FIT CPU,OBSERVATIONS N UMAP TRANSFORM,UMAP TRANSFORM GPU,UMAP TRANSFORM CPU,OBSERVATIONS N HDBSCAN FIT,HDBSCAN FIT GPU,HDBSCAN FIT CPU,OBSERVATIONS N HDBSCAN TRANSFORM,HDBSCAN TRANSFORM GPU,HDBSCAN TRANSFORM CPU,OBSERVATIONS N XGBOOST FIT,XGBOOST FIT GPU,XGBOOST FIT CPU,OBSERVATIONS N XGBOOST TRANSFORM,XGBOOST TRANSFORM GPU,XGBOOST TRANSFORM CPU
1000,0.0513s,2.9136s,1,0.0293s,1.4891s,1000,0.1812s,0.0316s,1,0.0125s,0.0084s,1000,0.2864s,0.1652s,1,0.0012s,0.0036s
2000,0.0835s,5.1119s,2,0.0299s,1.5334s,2000,0.2463s,0.0362s,2,0.0126s,0.0144s,2000,0.4289s,0.296s,2,0.0033s,0.0036s
4000,0.1162s,12.4789s,4,0.0298s,1.809s,4000,0.305s,0.0955s,4,0.0129s,0.0267s,4000,0.7862s,0.4993s,4,0.0032s,0.0046s
8000,0.2252s,8.1999s,8,0.0306s,1.8249s,8000,0.5014s,0.3008s,8,0.013s,0.0449s,8000,1.2291s,0.8592s,8,0.0033s,0.0064
16000,0.4609s,8.6485s,16,0.0305s,1.6347s,16000,0.943s,1.0249s,16,0.0133s,0.0816s,16000,1.6689s,1.5907s,16,0.002s,0.0081
32000,1.0275s,17.0224s,32,0.0545s,1.7977s,32000,1.4934s,4.8365s,32,0.0152s,0.1577s,32000,2.3674s,3.0965s,32,0.0034s,0.0084s
64000,2.4951s,42.8486s,64,0.099s,1.5521s,64000,2.949s,15.5102s,64,0.0191s,0.3101s,64000,3.4621s,6.1228s,64,0.0039s,0.0097s
128000,7.8992s,116.9726s,128,0.1716s,1.8543s,128000,6.7652s,61.2481s,128,0.0277s,0.6157s,128000,5.1438s,12.5091s,128,0.0012s,0.014s
256000,28.0078s,604.6043s,254,0.3893s,1.6341s,256000,17.721s,241.0773s,254,0.068s,1.1802s,256000,7.554s,25.4947s,254,0.0044s,0.0136s
512000,115.2026s,3941.9871s,512,0.5588s,2.1973s,512000,50.6765s,972.4014s,512,0.0982s,2.3559s,512000,12.1977s,51.1738s,512,0.0048s,0.0054s
1024000,458.486s,TIMEOUT,1024,1.0797s,2.0035s,1024000,169.8383s,3873.0438s,1024,0.1778s,4.7025s,1024000,20.8944s,103.5927s,1024,0.0036s,0.0036
2048000,1856.7499s,TIMEOUT,2048,1.9746s,2.5711s,2048000,672.0173s,TIMEOUT,2048,0.2964s,9.4564s,2048000,39.8888s,205.3707s,2048,0.0045s,0.004s
,,,,,,,,,,,,4096000,73.2578s,443.3625s,,,
