,VIDEO,MEASUREMENT,VALUE
0,Together_3,Grade 1 (frames),0
1,Together_3,Grade 1 (s),0.0
2,Together_3,Grade 2 (frames),19
3,Together_3,Grade 2 (s),0.6333
4,Together_3,Grade 3 (frames),44
5,Together_3,Grade 3 (s),1.4667
6,Together_3,Grade 4 (frames),37
7,Together_3,Grade 4 (s),1.2333
8,Together_3,Grade 5 (frames),56
9,Together_3,Grade 5 (s),1.8667
10,Together_3,Grade 6 (frames),58
11,Together_3,Grade 6 (s),1.9333
12,Together_2,Grade 1 (frames),0
13,Together_2,Grade 1 (s),0.0
14,Together_2,Grade 2 (frames),19
15,Together_2,Grade 2 (s),0.6333
16,Together_2,Grade 3 (frames),44
17,Together_2,Grade 3 (s),1.4667
18,Together_2,Grade 4 (frames),37
19,Together_2,Grade 4 (s),1.2333
20,Together_2,Grade 5 (frames),56
21,Together_2,Grade 5 (s),1.8667
22,Together_2,Grade 6 (frames),58
23,Together_2,Grade 6 (s),1.9333
24,Together_1,Grade 1 (frames),0
25,Together_1,Grade 1 (s),0.0
26,Together_1,Grade 2 (frames),19
27,Together_1,Grade 2 (s),0.6333
28,Together_1,Grade 3 (frames),44
29,Together_1,Grade 3 (s),1.4667
30,Together_1,Grade 4 (frames),37
31,Together_1,Grade 4 (s),1.2333
32,Together_1,Grade 5 (frames),56
33,Together_1,Grade 5 (s),1.8667
34,Together_1,Grade 6 (frames),58
35,Together_1,Grade 6 (s),1.9333
