Time,Light,Location,Behaviour
0,,,
0.04,,,
0.08,,,
0.12,,,
0.16,,,
0.2,,,
0.24,,,
0.28,,,
0.32,,,
0.36,,,
0.4,,,
0.44,,,
0.48,,,
0.52,,,
0.56,,,
0.6,,,
0.64,,,
0.68,,,
0.72,,,
0.76,,,
0.8,,,
0.84,,,
0.88,,,
0.92,,,
0.96,,,
1,,,
1.04,,,
1.08,,,
1.12,,,
1.16,,,
1.2,,,
1.24,,,
1.28,,,
1.32,,,
1.36,,,
1.4,,,
1.44,,,
1.48,,,
1.52,,,
1.56,,,
1.6,,,
1.64,,,
1.68,,,
1.72,,,
1.76,,,
1.8,,,
1.84,,,
1.88,,,
1.92,,,
1.96,,,
2,,,
2.04,,,
2.08,,,
2.12,,,
2.16,,,
2.2,,,
2.24,,,
2.28,,,
2.32,,,
2.36,,,
2.4,,,
2.44,,,
2.48,,,
2.52,,,
2.56,,,
2.6,,,
2.64,,,
2.68,,,
2.72,,,
2.76,,,
2.8,,,
2.84,,,
2.88,,,
2.92,,,
2.96,,,
3,,,
3.04,,,
3.08,,,
3.12,,,
3.16,,,
3.2,,,
3.24,,,
3.28,,,
3.32,,,
3.36,,,
3.4,,,
3.44,,,
3.48,,,
3.52,,,
3.56,,,
3.6,,,
3.64,,,
3.68,,,
3.72,,,
3.76,,,
3.8,,,
3.84,,,
3.88,,,
3.92,,,
3.96,,,
4,,,
4.04,,,
4.08,,,
4.12,,,
4.16,,,
4.2,,,
4.24,,,
4.28,,,
4.32,,,
4.36,,,
4.4,,,
4.44,,,
4.48,,,
4.52,,,
4.56,,,
4.6,,,
4.64,,,
4.68,,,
4.72,,,
4.76,,,
4.8,,,
4.84,,,
4.88,,,
4.92,,,
4.96,,,
5,,,
5.04,,,
5.08,,,
5.12,,,
5.16,,,
5.2,,,
5.24,,,
5.28,,,
5.32,,,
5.36,,,
5.4,,,
5.44,,,
5.48,,,
5.52,,,
5.56,,,
5.6,,,
5.64,,,
5.68,,,
5.72,,,
5.76,,,
5.8,,,
5.84,,,
5.88,,,
5.92,,,
5.96,,,
6,,,
6.04,,,
6.08,,,
6.12,,,
6.16,,,
6.2,,,
6.24,,,
6.28,,,
6.32,,,
6.36,,,
6.4,,,
6.44,,,
6.48,,,
6.52,,,
6.56,,,
6.6,,,
6.64,,,
