,ARM_ENTRY_SEQUENCE,ENTRY FRAME,EXIT FRAME,ENTER TIME (s),EXIT TIME (s)
0,B,5,262,0.16666666666666666,8.733333333333333
1,C,299,502,9.966666666666667,16.733333333333334
2,A,587,722,19.566666666666666,24.066666666666666
3,A,873,1035,29.1,34.5
4,C,2213,2357,73.76666666666667,78.56666666666666
5,B,2404,2493,80.13333333333334,83.1
6,C,2895,3025,96.5,100.83333333333333
7,B,3149,3299,104.96666666666667,109.96666666666667
8,A,3421,3811,114.03333333333333,127.03333333333333
9,C,4316,4438,143.86666666666667,147.93333333333334
10,B,4495,4695,149.83333333333334,156.5
11,C,4783,5217,159.43333333333334,173.9
12,A,5337,5612,177.9,187.06666666666666
13,B,6380,6524,212.66666666666666,217.46666666666667
14,A,6611,6785,220.36666666666667,226.16666666666666
15,C,6896,8425,229.86666666666667,280.8333333333333
16,C,8580,8900,286.0,296.6666666666667
17,A,9587,9980,319.56666666666666,332.6666666666667
18,B,10595,10772,353.1666666666667,359.06666666666666
19,A,10872,11446,362.4,381.53333333333336
20,C,11802,12095,393.4,403.1666666666667
21,B,12244,12504,408.1333333333333,416.8
22,A,12575,12808,419.1666666666667,426.93333333333334
23,C,13235,13293,441.1666666666667,443.1
24,B,13419,13540,447.3,451.3333333333333
25,C,13880,14098,462.6666666666667,469.93333333333334
26,B,14232,14622,474.4,487.4
27,C,14768,14839,492.26666666666665,494.6333333333333
28,A,14916,15386,497.2,512.8666666666667
29,B,16734,16751,557.8,558.3666666666667
30,A,16955,17369,565.1666666666666,578.9666666666667
