Video_name,Black and white mouse?,Intruder alive?,Clip beginning (s),Clip end (s),Initial frames removed
Tvideo_0,Yes,Yes,0:47,14:35,1175
Tvideo_1,No,,1:04,8:15,1600
Tvideo_2,Yes,Yes,0:38,8:37,950
Tvideo_3,No,,0:40,12:04,1000
Tvideo_4,Yes,No,0:42,8:03,1050
Tvideo_5,Yes,Yes,0:22,8:04,550
Tvideo_6,Yes,Yes,0:35,6:08,875
Tvideo_7,No,,0:33,7:53,825
Tvideo_8,Yes,Yes,0:42,5:55,1050
Tvideo_9,No,,0:42,10:16,1050
Tvideo_10,No,,1:18,10:55,1950
Tvideo_11,Yes,No,2:00,10:05,3000
Tvideo_12,No,,0:53,11:47,1325
Tvideo_13,No,,0:33,8:23,825
Tvideo_14,No,,0:02,7:31,50
Tvideo_15,Yes,Yes,0:48,11:30,1200
Tvideo_16,No,,2:41,4:00,4025
Tvideo_17,No,,0:27,8:26,675
Tvideo_18,No,,0:41,9:41,1025
Tvideo_19,Yes,No,1:09,6:59,1725
Tvideo_20,Yes,No,1:00,5:44,1500
Tvideo_21,Yes,No,0:53,6:26,1325
Tvideo_22,Yes,No,1:06,7:45,1650
Tvideo_23,Yes,Yes,0:43,6:35,1075
Tvideo_24,No,,0:26,7:39,650
Tvideo_25,Yes,Yes,0:31,6:52,775
Tvideo_26,No,,2:04,15:05,3100
Tvideo_27,No,,0:28,7:10,700
Tvideo_28,Yes,Yes,1:20,7:06,2000
Tvideo_29,Yes,Yes,0:26,6:17,650
Tvideo_30,No,,3:02,11:35,4550
Tvideo_31,No,,0:34,8:03,850
Tvideo_32,No,,0:34,6:32,850
Tvideo_33,No,,1:02,7:47,1550
Tvideo_34,No,,0:41,8:48,1025
Tvideo_35,Yes,Yes,0:35,9:06,875
Tvideo_36,No,,0:37,7:40,925
Tvideo_37,Yes,Yes,0:37,1:32,925
Tvideo_38,No,,0:36,7:57,900
Tvideo_39,Yes,Yes,0:30,5:29,750
Tvideo_40,No,,0:58,6:26,1450
Tvideo_41,Yes,Yes,0:36,7:32,900
Tvideo_42,No,,0:44,5:41,1100
Tvideo_43,Yes,No,1:09,7:13,1725
Tvideo_44,No,,0:23,8:42,575
Tvideo_45,No,,0:29,5:05,725
Tvideo_46,Yes,Yes,2:08,7:48,3200
Tvideo_47,Yes,No,0:27,6:00,675
Tvideo_48,No,,0:35,3:35,875
Tvideo_49,No,,1:37,10:38,2425
Tvideo_50,No,,1:44,5:19,2600
Tvideo_51,No,,0:57,12:33,1425
Tvideo_52,Yes,Yes,0:54,5:02,1350
Tvideo_53,Yes,Yes,0:47,15:29,1175
Tvideo_54,No,,1:53,10:49,2825
Tvideo_55,No,,0:34,8:28,850
Tvideo_56,Yes,No,0:36,5:29,900
Tvideo_57,Yes,Yes,0:41,11:16,1025
Tvideo_58,No,,0:50,4:33,1250
Tvideo_59,No,,4:22,12:11,6550
Tvideo_60,No,,1:14,7:32,1850
Tvideo_61,Yes,No,0:56,7:27,1400
Tvideo_62,No,,0:37,8:38,925
Tvideo_63,No,,0:23,6:32,575
Tvideo_64,No,,1:19,13:02,1975
Tvideo_65,Yes,Yes,0:32,6:09,800
Tvideo_66,No,,0:02,7:56,50
Tvideo_67,Yes,Yes,0:23,4:23,575
Tvideo_68,No,,0:32,4:38,800
Tvideo_69,No,,2:14,9:39,3350
Tvideo_70,Yes,Yes,1:37,12:20,2425
Tvideo_71,No,,0:47,8:54,1175
Tvideo_72,No,,0:09,10:56,225
Tvideo_73,Yes,Yes,1:22,9:49,2050
Tvideo_74,No,,1:45,7:09,2625
Tvideo_75,No,,0:27,5:19,675
Tvideo_76,Yes,Yes,0:38,5:04,950
Tvideo_77,No,,3:12,8:34,4800
Tvideo_78,Yes,Yes,1:02,6:19,1550
Tvideo_79,No,,1:55,10:49,2875
Tvideo_80,Yes,Yes,1:45,4:44,2625
Tvideo_81,No,,1:17,9:56,1925
Tvideo_82,Yes,No,0:32,8:09,800
Tvideo_83,No,,0:34,1:06,850
Tvideo_84,Yes,Yes,0:36,2:09,900
Tvideo_85,Yes,No,0:41,6:10,1025
Tvideo_86,Yes,Yes,1:02,5:04,1550
Tvideo_87,No,,1:58,11:44,2950
Tvideo_88,No,,1:37,9:24,2425
Tvideo_89,Yes,Yes,1:17,8:55,1925
Tvideo_90,No,,3:22,9:23,5050
Tvideo_91,No,,0:35,3:39,875
Tvideo_92,Yes,Yes,2:03,9:39,3075
Tvideo_93,No,,2:34,9:24,3850
Tvideo_94,Yes,Yes,1:55,12:19,2875
Tvideo_95,Yes,Yes,0:41,6:44,1025
Tvideo_96,No,,0:30,6:34,750
Tvideo_97,Yes,Yes,1:08,11:54,1700
Tvideo_98,No,,2:07,14:49,3175
Tvideo_99,Yes,No,2:07,10:49,3175
Tvideo_100,Yes,Yes,1:00,11:49,1500
Tvideo_101,No,,0:55,11:54,1375
Tvideo_102,Yes,Yes,0:51,8:04,1275
Tvideo_103,No,,1:07,5:44,1675
Tvideo_104,No,,3:44,12:24,5600
Tvideo_105,No,,1:07,8:34,1675
Tvideo_106,Yes,Yes,0:24,7:35,600
Tvideo_107,No,,0:31,8:33,775
Tvideo_108,Yes,Yes,1:06,9:14,1650
Tvideo_109,Yes,Yes,3:22,13:43,5050
Tvideo_110,Yes,Yes,1:12,12:14,1800
Tvideo_111,No,,0:52,11:29,1300
Tvideo_112,No,,0:47,7:14,1175
Tvideo_113,No,,2:04,11:09,3100
Tvideo_114,No,,1:00,13:29,1500
Tvideo_115,Yes,No,1:18,9:44,1950
Tvideo_116,Yes,Yes,2:09,10:22,3225
Tvideo_117,Yes,Yes,1:33,9:14,2325
Tvideo_118,No,,2:28,11:02,3700
Tvideo_119,Yes,Yes,1:04,1:12,1600
Tvideo_120,No,,1:07,9:13,1675
Tvideo_121,No,,1:49,11:59,2725
Tvideo_122,No,,2:24,10:29,3600
Tvideo_123,Yes,Yes,2:26,7:34,3650
Tvideo_124,Yes,Yes,0:59,14:34,1475
Tvideo_125,Yes,No,0:34,9:59,850
Tvideo_126,Yes,Yes,0:57,9:26,1425
Tvideo_127,No,,1:09,10:54,1725
Tvideo_128,Yes,No,0:33,7:44,825
Tvideo_129,Yes,No,0:58,8:09,1450
Tvideo_130,Yes,Yes,0:31,12:54,775
Tvideo_131,Yes,No,0:23,6:39,575
Tvideo_132,Yes,Yes,0:44,7:54,1100
Tvideo_133,Yes,Yes,0:40,3:49,1000
Tvideo_134,Yes,No,0:52,6:44,1300
Tvideo_135,Yes,Yes,1:44,8:19,2600
Tvideo_136,No,,1:05,11:29,1625
Tvideo_137,Yes,Yes,0:37,14:43,925
Tvideo_138,Yes,Yes,0:24,5:12,600
Tvideo_139,No,,0:29,8:34,725
Tvideo_140,Yes,Yes,1:02,13:49,1550
Tvideo_141,No,,0:02,11:59,50
Tvideo_142,Yes,Yes,0:45,6:34,1125
Tvideo_143,Yes,Yes,0:38,16:59,950
Tvideo_144,Yes,Yes,0:29,6:28,725
Tvideo_145,Yes,Yes,0:35,12:29,875
Tvideo_146,No,,1:25,4:19,2125
Tvideo_147,Yes,No,0:29,6:54,725
Tvideo_148,Yes,Yes,1:19,8:41,1975
Tvideo_149,No,,0:35,7:22,875
Tvideo_150,No,,0:51,7:22,1275
Tvideo_151,No,,2:52,10:02,4300
Tvideo_152,No,,0:48,8:04,1200
Tvideo_153,Yes,Yes,1:09,10:44,1725
Tvideo_154,No,,1:13,8:39,1825
Tvideo_155,Yes,No,1:26,8:49,2150
Tvideo_156,Yes,Yes,1:20,11:49,2000
Tvideo_157,No,,0:44,7:24,1100
Tvideo_158,Yes,Yes,1:04,15:09,1600
Tvideo_159,Yes,No,2:15,9:44,3375
Tvideo_160,No,,0:56,9:39,1400
Tvideo_161,No,,1:37,16:34,2425
Tvideo_162,Yes,Yes,1:27,12:04,2175
Tvideo_163,Yes,No,2:07,11:04,3175
Tvideo_164,Yes,Yes,2:17,10:56,3425
Tvideo_165,No,,1:51,10:04,2775
Tvideo_166,Yes,No,1:20,13:14,2000
Tvideo_167,No,,0:55,9:49,1375
Tvideo_168,Yes,Yes,0:20,11:29,500
Tvideo_169,No,,0:32,8:12,800
Tvideo_170,No,,0:09,12:34,225
Tvideo_171,Yes,No,0:30,6:29,750
Tvideo_172,Yes,Yes,1:01,11:14,1525
Tvideo_173,Yes,Yes,1:05,9:22,1625
Tvideo_174,No,,1:25,8:48,2125
Tvideo_175,Yes,Yes,0:37,10:04,925
Tvideo_176,No,,0:15,11:39,375
Tvideo_177,Yes,No,0:25,5:53,625
Tvideo_178,Yes,,0:28,8:59,700
Tvideo_179,No,,2:11,8:57,3275
Tvideo_180,No,,0:55,4:34,1375
Tvideo_181,Yes,,1:41,8:54,2525
Tvideo_182,Yes,,0:32,2:14,800
Tvideo_183,No,,1:14,8:59,1850
Tvideo_184,Yes,,0:44,14:19,1100
Tvideo_185,No,,1:35,11:24,2375
Tvideo_186,Yes,,1:04,11:49,1600
Tvideo_187,Yes,,0:52,6:27,1300
Tvideo_188,Yes,,0:35,5:56,875
Tvideo_189,Yes,,0:58,7:34,1450
Tvideo_190,No,,0:29,7:04,725
Tvideo_191,No,,0:26,5:54,650
Tvideo_192,Yes,,0:35,7:09,875
Tvideo_193,Yes,,0:38,5:54,950
Tvideo_194,No,,0:52,6:47,1300
Tvideo_195,Yes,,3:12,9:24,4800
Tvideo_196,No,,1:04,8:53,1600
Tvideo_197,No,,0:38,9:14,950
Tvideo_198,No,,1:37,5:47,2425
Tvideo_199,No,,1:28,9:49,2200
Tvideo_200,Yes,,0:50,9:04,1250
Tvideo_201,Yes,,0:40,8:04,1000
Tvideo_202,Yes,,0:39,13:15,975
Tvideo_203,Yes,,2:00,7:12,3000
Tvideo_204,No,,0:02,1:24,50
Tvideo_205,No,,0:37,0:50,925
Tvideo_206,Yes,,0:51,7:04,1275
Tvideo_207,Yes,,1:11,12:04,1775
Tvideo_208,No,,0:54,6:12,1350
Tvideo_209,No,,0:34,6:56,850
Tvideo_210,No,,0:47,7:39,1175
Tvideo_211,Yes,,0:54,7:44,1350
Tvideo_212,No,,2:24,12:24,3600
Tvideo_213,No,,0:35,5:41,875
Tvideo_214,No,,0:42,5:19,1050
Tvideo_215,Yes,,1:24,7:08,2100
Tvideo_216,No,,1:22,9:39,2050
Tvideo_217,Yes,,2:25,9:29,3625
Tvideo_218,Yes,,1:15,10:54,1875
Tvideo_219,Yes,,1:15,10:27,1875
Tvideo_220,Yes,,0:54,6:49,1350
Tvideo_221,No,,0:44,7:39,1100
Tvideo_222,Yes,,0:24,5:42,600
Tvideo_223,Yes,,1:37,12:14,2425
Tvideo_224,No,,1:16,6:54,1900
Tvideo_225,Yes,,1:24,10:36,2100
Tvideo_226,Yes,,0:27,8:44,675
Tvideo_227,No,,0:53,7:55,1325
Tvideo_228,No,,0:29,6:54,725
Tvideo_229,Yes,,1:07,8:52,1675
Tvideo_230,Yes,,0:55,8:59,1375
Tvideo_231,Yes,,0:25,6:19,625
